,Timestamp_ms,Altitude_m,HV Battery Current_A,HV Battery SOC_Pctg,HV Battery Voltage_V,Is Driving_bool,Latitude_deg,Longitude_deg,OAT_degC,Vehicle Speed_kmh,Vehicle Speed_m_s,Vehicle Acceleration,Vehicle Jerk,Dist_in_s,Cumsum_Dist,kwh,Start_Cut,End_Cut
9,11100,81.69999695,-15.25,97.5,358.75,1,41.48899444,-71.52179444,1,2,0.5555555555555556,,,0.00034520621790963,0.00034520621790963,0.001519704861111111,0.0002448048757630236,0.009415169232005397
10,12100,81.69999695,-40.25,97.5,356.5,1,41.48899444,-71.52179444,1,10,2.7777777777777777,2.2222222222222223,,0.0017260310895481498,0.00207123730745778,0.003985868055555556,0.0002448048757630236,0.009415169232005397
11,13100,81.69999695,-40.25,97.5,356.5,1,41.48899444,-71.52179444,1,10,2.7777777777777777,0.0,-2.2222222222222223,0.0017260310895481498,0.0037972683970059293,0.003985868055555556,0.0002448048757630236,0.009415169232005397
12,14100,81.69999695,-40.0,97.5,356.0,1,41.48899444,-71.52179444,1,17,4.722222222222222,1.9444444444444446,1.9444444444444446,0.002934252852231855,0.006731521249237784,0.003955555555555556,0.0002448048757630236,0.009415169232005397
13,15100,81.69999695,-12.0,97.5,358.75,1,41.48899444,-71.52179444,1,21,5.833333333333333,1.1111111111111107,-0.8333333333333339,0.0036246652880511146,0.010356186537288899,0.0011958333333333333,0.0002448048757630236,0.009415169232005397
14,16100,81.69999695,5.25,97.5,359.75,1,41.48899444,-71.52179444,1,13,3.611111111111111,-2.222222222222222,-3.3333333333333326,0.002243840416412595,0.012600026953701493,-0.0005246354166666667,0.0002448048757630236,0.009415169232005397
15,17100,81.69999695,20.0,97.5,360.5,1,41.48899444,-71.52179444,1,13,3.611111111111111,0.0,2.222222222222222,0.002243840416412595,0.014843867370114089,-0.002002777777777778,0.0002448048757630236,0.009415169232005397
16,18100,81.69999695,-12.0,97.5,359.0,1,41.48899444,-71.52179444,1,5,1.3888888888888888,-2.2222222222222223,-2.2222222222222223,0.0008630155447740749,0.015706882914888164,0.0011966666666666666,0.0002448048757630236,0.009415169232005397
17,19100,81.69999695,-8.0,97.5,358.5,1,41.48899444,-71.52179444,1,2,0.5555555555555556,-0.8333333333333333,1.388888888888889,0.00034520621790963,0.016052089132797792,0.0007966666666666667,0.0002448048757630236,0.009415169232005397
18,20100,81.69999695,-5.75,97.5,358.75,1,41.48899444,-71.52179444,1,1,0.2777777777777778,-0.2777777777777778,0.5555555555555555,0.000172603108954815,0.016224692241752606,0.0005730034722222223,0.0002448048757630236,0.009415169232005397
19,21100,81.69999695,-5.0,97.5,358.75,1,41.48899444,-71.52179444,1,0,0.0,-0.2777777777777778,0.0,0.0,0.016224692241752606,0.0004982638888888889,0.0002448048757630236,0.009415169232005397
20,22100,81.69999695,-5.0,97.5,358.75,1,41.48899444,-71.52179444,1,0,0.0,0.0,0.2777777777777778,0.0,0.016224692241752606,0.0004982638888888889,0.0002448048757630236,0.009415169232005397
21,23100,81.69999695,-5.0,97.5,358.75,1,41.48899444,-71.52179444,1,0,0.0,0.0,0.0,0.0,0.016224692241752606,0.0004982638888888889,0.0002448048757630236,0.009415169232005397
22,24100,81.69999695,-5.0,97.5,358.75,1,41.48899444,-71.52179444,1,0,0.0,0.0,0.0,0.0,0.016224692241752606,0.0004982638888888889,0.0002448048757630236,0.009415169232005397
23,25100,76.90000153,-22.75,97.5,357.25,1,41.48910583,-71.52156083,1,7,1.9444444444444444,1.9444444444444444,1.9444444444444444,0.0012082217626837048,0.01743291400443631,0.0022576215277777777,0.00015105455240414643,0.009610935082388247
24,26100,76.90000153,-22.75,97.5,357.75,1,41.48910583,-71.52156083,1,14,3.888888888888889,1.9444444444444444,0.0,0.0024164435253674096,0.01984935752980372,0.00226078125,0.00015105455240414643,0.009610935082388247
25,27100,76.90000153,-48.0,97.5,356.0,1,41.48910583,-71.52156083,1,20,5.555555555555555,1.6666666666666665,-0.2777777777777779,0.0034520621790962995,0.02330141970890002,0.004746666666666667,0.00015105455240414643,0.009610935082388247
26,28100,76.90000153,-95.75,97.5,353.0,1,41.48910583,-71.52156083,1,30,8.333333333333334,2.7777777777777786,1.111111111111112,0.00517809326864445,0.028479512977544467,0.009388819444444446,0.00015105455240414643,0.009610935082388247
27,29100,76.90000153,-140.5,97.5,349.5,1,41.48910583,-71.52156083,1,40,11.11111111111111,2.777777777777777,-1.7763568394002505e-15,0.006904124358192599,0.035383637335737066,0.013640208333333334,0.00015105455240414643,0.009610935082388247
28,30100,76.90000153,-199.0,97.5,345.5,1,41.48910583,-71.52156083,1,50,13.88888888888889,2.7777777777777786,1.7763568394002505e-15,0.00863015544774075,0.04401379278347781,0.01909847222222222,0.00015105455240414643,0.009610935082388247
29,31100,76.90000153,-166.75,97.5,346.75,1,41.48910583,-71.52156083,1,60,16.666666666666668,2.7777777777777786,0.0,0.0103561865372889,0.05436997932076672,0.01606126736111111,0.00015105455240414643,0.009610935082388247
30,32100,76.90000153,-83.25,97.5,348.75,1,41.48910583,-71.52156083,1,61,16.944444444444443,0.277777777777775,-2.5000000000000036,0.010528789646243713,0.06489876896701043,0.00806484375,0.00015105455240414643,0.009610935082388247
31,33100,76.90000153,-63.75,97.5,355.0,1,41.48910583,-71.52156083,1,68,18.88888888888889,1.9444444444444464,1.6666666666666714,0.01173701140892742,0.07663578037593785,0.006286458333333334,0.00015105455240414643,0.009610935082388247
