,Timestamp_ms,Altitude_m,HV Battery Current_A,HV Battery SOC_Pctg,HV Battery Voltage_V,Is Driving_bool,Latitude_deg,Longitude_deg,OAT_degC,Vehicle Speed_kmh,Vehicle Speed_m_s,Vehicle Acceleration,Vehicle Jerk,Dist_in_s,Cumsum_Dist,kwh,Start_Cut,End_Cut
0,3158700,77.59999847,58.25,49.5,326.0,1,41.48935806,-71.52190167,6,23,6.388888888888888,,,0.0039698715059607445,0.0039698715059607445,-0.005274861111111111,0.00027406038111956843,0.009710383309249133
1,3159700,77.59999847,5.0,49.5,323.5,1,41.48935806,-71.52190167,6,17,4.722222222222222,-1.666666666666666,,0.002934252852231855,0.0069041243581926,-0.00044930555555555555,0.00027406038111956843,0.009710383309249133
2,3160700,77.59999847,-1.25,49.5,323.0,1,41.48935806,-71.52190167,6,14,3.888888888888889,-0.8333333333333335,0.8333333333333326,0.0024164435253674096,0.00932056788356001,0.00011215277777777778,0.00027406038111956843,0.009710383309249133
3,3161700,77.59999847,-1.0,49.5,323.0,1,41.48935806,-71.52190167,6,12,3.333333333333333,-0.5555555555555558,0.2777777777777777,0.00207123730745778,0.01139180519101779,8.972222222222222e-05,0.00027406038111956843,0.009710383309249133
4,3162700,77.59999847,-1.0,49.5,323.0,1,41.48935806,-71.52190167,6,12,3.333333333333333,0.0,0.5555555555555558,0.00207123730745778,0.01346304249847557,8.972222222222222e-05,0.00027406038111956843,0.009710383309249133
5,3163700,77.59999847,-18.75,49.5,321.75,1,41.48935806,-71.52190167,6,13,3.611111111111111,0.2777777777777781,0.2777777777777781,0.002243840416412595,0.015706882914888164,0.0016757812500000002,0.00027406038111956843,0.009710383309249133
6,3164700,77.59999847,-1.5,49.5,322.25,1,41.48935806,-71.52190167,6,15,4.166666666666667,0.5555555555555558,0.2777777777777777,0.002589046634322225,0.018295929549210388,0.00013427083333333333,0.00027406038111956843,0.009710383309249133
7,3165700,77.59999847,-1.0,49.5,322.75,1,41.48935806,-71.52190167,6,15,4.166666666666667,0.0,-0.5555555555555558,0.002589046634322225,0.020884976183532612,8.965277777777777e-05,0.00027406038111956843,0.009710383309249133
8,3166700,78.0,6.5,49.5,323.0,1,41.48918694,-71.52188194,6,15,4.166666666666667,0.0,0.0,0.002589046634322225,0.023474022817854837,-0.0005831944444444445,0.00020990075558946101,0.009559060652978811
9,3167700,78.0,4.75,49.5,323.25,1,41.48918694,-71.52188194,6,10,2.7777777777777777,-1.3888888888888893,-1.3888888888888893,0.0017260310895481498,0.025200053907402986,-0.00042651041666666667,0.00020990075558946101,0.009559060652978811
10,3168700,78.0,-2.75,49.5,322.75,1,41.48918694,-71.52188194,6,4,1.1111111111111112,-1.6666666666666665,-0.27777777777777724,0.00069041243581926,0.025890466343222247,0.0002465451388888889,0.00020990075558946101,0.009559060652978811
11,3169700,78.0,-2.75,49.5,322.75,1,41.48918694,-71.52188194,6,4,1.1111111111111112,0.0,1.6666666666666665,0.00069041243581926,0.026580878779041507,0.0002465451388888889,0.00020990075558946101,0.009559060652978811
12,3170700,78.0,-18.0,49.5,323.0,1,41.48918694,-71.52188194,6,2,0.5555555555555556,-0.5555555555555556,-0.5555555555555556,0.00034520621790963,0.026926084996951136,0.0016150000000000001,0.00020990075558946101,0.009559060652978811
13,3171700,78.0,-18.0,49.5,322.25,1,41.48918694,-71.52188194,6,2,0.5555555555555556,0.0,0.5555555555555556,0.00034520621790963,0.027271291214860764,0.00161125,0.00020990075558946101,0.009559060652978811
14,3172700,78.0,-13.5,49.5,323.0,1,41.48918694,-71.52188194,6,4,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.00069041243581926,0.027961703650680025,0.00121125,0.00020990075558946101,0.009559060652978811
15,3173700,78.0,-2.0,49.5,323.0,1,41.48918694,-71.52188194,6,4,1.1111111111111112,0.0,-0.5555555555555556,0.00069041243581926,0.028652116086499285,0.00017944444444444445,0.00020990075558946101,0.009559060652978811
16,3174700,78.0,-1.25,49.5,323.25,1,41.48918694,-71.52188194,6,3,0.8333333333333333,-0.2777777777777779,-0.2777777777777779,0.000517809326864445,0.02916992541336373,0.00011223958333333333,0.00020990075558946101,0.009559060652978811
17,3175700,78.0,-1.25,49.5,322.75,1,41.48918694,-71.52188194,6,1,0.2777777777777778,-0.5555555555555555,-0.27777777777777757,0.000172603108954815,0.029342528522318546,0.00011206597222222222,0.00020990075558946101,0.009559060652978811
18,3176700,78.30000305,-18.25,49.5,322.75,1,41.48918417,-71.52187111,6,1,0.2777777777777778,0.0,0.5555555555555555,0.000172603108954815,0.02951513163127336,0.0016361631944444444,0.000199421114728963,0.009560595992983383
19,3177700,78.30000305,-1.75,49.5,323.25,1,41.48918417,-71.52187111,6,5,1.3888888888888888,1.1111111111111112,1.1111111111111112,0.0008630155447740749,0.030378147176047435,0.00015713541666666667,0.000199421114728963,0.009560595992983383
20,3178700,78.30000305,-1.75,49.5,323.25,1,41.48918417,-71.52187111,6,5,1.3888888888888888,0.0,-1.1111111111111112,0.0008630155447740749,0.03124116272082151,0.00015713541666666667,0.000199421114728963,0.009560595992983383
21,3179700,78.30000305,-1.75,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,-0.5555555555555556,-0.5555555555555556,0.000517809326864445,0.031758972047685956,0.00015713541666666667,0.000199421114728963,0.009560595992983383
22,3180700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.5555555555555556,0.000517809326864445,0.0322767813745504,0.0007407812499999999,0.000199421114728963,0.009560595992983383
23,3181700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.03279459070141485,0.0007407812499999999,0.000199421114728963,0.009560595992983383
24,3182700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.033312400028279295,0.0007407812499999999,0.000199421114728963,0.009560595992983383
25,3183700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.03383020935514374,0.0007407812499999999,0.000199421114728963,0.009560595992983383
26,3184700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.03434801868200819,0.0007407812499999999,0.000199421114728963,0.009560595992983383
27,3185700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.03486582800887263,0.0007407812499999999,0.000199421114728963,0.009560595992983383
28,3186700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.03538363733573708,0.0007407812499999999,0.000199421114728963,0.009560595992983383
29,3187700,78.30000305,-8.25,49.5,323.25,1,41.48918417,-71.52187111,6,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.035901446662601526,0.0007407812499999999,0.000199421114728963,0.009560595992983383
