,Timestamp_ms,Altitude_m,HV Battery Current_A,HV Battery SOC_Pctg,HV Battery Voltage_V,Is Driving_bool,Latitude_deg,Longitude_deg,OAT_degC,Vehicle Speed_kmh,Vehicle Speed_m_s,Vehicle Acceleration,Vehicle Jerk,Dist_in_s,Cumsum_Dist,kwh,Start_Cut,End_Cut
7,6500,79.40000153,-8.0,64.0,333.5,1,41.48912417,-71.5215825,2,3,0.8333333333333333,,,0.000517809326864445,0.000517809326864445,0.0007411111111111111,0.00012268275715434393,0.009618836356803407
8,7500,79.40000153,-8.0,64.0,333.75,1,41.48912417,-71.5215825,2,3,0.8333333333333333,0.0,,0.000517809326864445,0.00103561865372889,0.0007416666666666666,0.00012268275715434393,0.009618836356803407
9,8500,79.40000153,-2.0,64.0,334.0,1,41.48912417,-71.5215825,2,5,1.3888888888888888,0.5555555555555556,0.5555555555555556,0.0008630155447740749,0.0018986341985029647,0.00018555555555555556,0.00012268275715434393,0.009618836356803407
10,9500,79.40000153,-2.0,64.0,334.0,1,41.48912417,-71.5215825,2,8,2.2222222222222223,0.8333333333333335,0.2777777777777779,0.00138082487163852,0.003279459070141485,0.00018555555555555556,0.00012268275715434393,0.009618836356803407
11,10500,79.40000153,-2.0,64.0,334.25,1,41.48912417,-71.5215825,2,8,2.2222222222222223,0.0,-0.8333333333333335,0.00138082487163852,0.004660283941780005,0.00018569444444444444,0.00012268275715434393,0.009618836356803407
12,11500,79.40000153,-1.5,64.0,334.25,1,41.48912417,-71.5215825,2,8,2.2222222222222223,0.0,0.0,0.00138082487163852,0.006041108813418525,0.00013927083333333334,0.00012268275715434393,0.009618836356803407
13,12500,79.40000153,-1.5,64.0,334.25,1,41.48912417,-71.5215825,2,8,2.2222222222222223,0.0,0.0,0.00138082487163852,0.007421933685057045,0.00013927083333333334,0.00012268275715434393,0.009618836356803407
14,13500,79.40000153,-2.0,64.0,333.5,1,41.48912417,-71.5215825,2,7,1.9444444444444444,-0.2777777777777779,-0.2777777777777779,0.0012082217626837048,0.00863015544774075,0.00018527777777777778,0.00012268275715434393,0.009618836356803407
15,14500,79.40000153,-1.75,64.0,333.5,1,41.48912417,-71.5215825,2,9,2.5,0.5555555555555556,0.8333333333333335,0.0015534279805933348,0.010183583428334085,0.00016211805555555554,0.00012268275715434393,0.009618836356803407
16,15500,79.40000153,-1.75,64.0,334.0,1,41.48912417,-71.5215825,2,9,2.5,0.0,-0.5555555555555556,0.0015534279805933348,0.01173701140892742,0.00016236111111111112,0.00012268275715434393,0.009618836356803407
17,16500,78.09999847,-9.25,64.0,333.75,1,41.48925194,-71.52165111,2,8,2.2222222222222223,-0.2777777777777777,-0.2777777777777777,0.00138082487163852,0.01311783628056594,0.0008575520833333334,4.99877555086303e-05,0.009708328668512947
18,17500,78.09999847,-10.75,64.0,333.75,1,41.48925194,-71.52165111,2,7,1.9444444444444444,-0.2777777777777779,-2.220446049250313e-16,0.0012082217626837048,0.014326058043249644,0.0009966145833333333,4.99877555086303e-05,0.009708328668512947
19,18500,78.09999847,-6.5,64.0,333.75,1,41.48925194,-71.52165111,2,1,0.2777777777777778,-1.6666666666666665,-1.3888888888888886,0.000172603108954815,0.014498661152204459,0.0006026041666666667,4.99877555086303e-05,0.009708328668512947
20,19500,78.09999847,-6.5,64.0,333.75,1,41.48925194,-71.52165111,2,1,0.2777777777777778,0.0,1.6666666666666665,0.000172603108954815,0.014671264261159273,0.0006026041666666667,4.99877555086303e-05,0.009708328668512947
21,20500,78.09999847,-6.5,64.0,333.75,1,41.48925194,-71.52165111,2,1,0.2777777777777778,0.0,0.0,0.000172603108954815,0.014843867370114087,0.0006026041666666667,4.99877555086303e-05,0.009708328668512947
22,21500,78.09999847,-6.5,64.0,333.75,1,41.48925194,-71.52165111,2,1,0.2777777777777778,0.0,0.0,0.000172603108954815,0.015016470479068901,0.0006026041666666667,4.99877555086303e-05,0.009708328668512947
23,22500,78.09999847,-12.0,64.0,333.25,1,41.48925194,-71.52165111,2,4,1.1111111111111112,0.8333333333333334,0.8333333333333334,0.00069041243581926,0.01570688291488816,0.0011108333333333335,4.99877555086303e-05,0.009708328668512947
24,23500,78.09999847,-10.25,64.0,333.5,1,41.48925194,-71.52165111,2,3,0.8333333333333333,-0.2777777777777779,-1.1111111111111112,0.000517809326864445,0.016224692241752606,0.0009495486111111112,4.99877555086303e-05,0.009708328668512947
25,24500,78.09999847,-10.0,64.0,333.5,1,41.48925194,-71.52165111,2,0,0.0,-0.8333333333333333,-0.5555555555555554,0.0,0.016224692241752606,0.0009263888888888889,4.99877555086303e-05,0.009708328668512947
26,25500,78.09999847,-10.0,64.0,333.5,1,41.48925194,-71.52165111,2,0,0.0,0.0,0.8333333333333333,0.0,0.016224692241752606,0.0009263888888888889,4.99877555086303e-05,0.009708328668512947
27,26500,78.09999847,-10.0,64.0,333.5,1,41.48925194,-71.52165111,2,0,0.0,0.0,0.0,0.0,0.016224692241752606,0.0009263888888888889,4.99877555086303e-05,0.009708328668512947
