,Timestamp_ms,Altitude_m,HV Battery Current_A,HV Battery SOC_Pctg,HV Battery Voltage_V,Is Driving_bool,Latitude_deg,Longitude_deg,OAT_degC,Vehicle Speed_kmh,Vehicle Speed_m_s,Vehicle Acceleration,Vehicle Jerk,Dist_in_s,Cumsum_Dist,kwh,Start_Cut,End_Cut
3,2100,71.19999695,-5.5,86.0,347.75,1,41.48915389,-71.52181694,7,3,0.8333333333333333,,,0.000517809326864445,0.000517809326864445,0.0005312847222222223,0.00015342553795415475,0.009553306999974835
4,3100,71.19999695,-5.5,86.0,347.75,1,41.48915389,-71.52181694,7,3,0.8333333333333333,0.0,,0.000517809326864445,0.00103561865372889,0.0005312847222222223,0.00015342553795415475,0.009553306999974835
5,4100,71.19999695,-1.75,86.0,347.75,1,41.48915389,-71.52181694,7,3,0.8333333333333333,0.0,0.0,0.000517809326864445,0.0015534279805933348,0.00016904513888888888,0.00015342553795415475,0.009553306999974835
6,5100,71.19999695,-10.5,86.0,347.5,1,41.48915389,-71.52181694,7,2,0.5555555555555556,-0.2777777777777777,-0.2777777777777777,0.00034520621790963,0.0018986341985029649,0.0010135416666666667,0.00015342553795415475,0.009553306999974835
7,6100,71.19999695,-25.25,86.0,346.75,1,41.48915389,-71.52181694,7,7,1.9444444444444444,1.3888888888888888,1.6666666666666665,0.0012082217626837048,0.0031068559611866697,0.002432065972222222,0.00015342553795415475,0.009553306999974835
8,7100,71.19999695,-22.25,86.0,346.75,1,41.48915389,-71.52181694,7,12,3.333333333333333,1.3888888888888886,-2.220446049250313e-16,0.00207123730745778,0.0051780932686444495,0.002143107638888889,0.00015342553795415475,0.009553306999974835
9,8100,71.19999695,2.5,86.0,348.0,1,41.48915389,-71.52181694,7,13,3.611111111111111,0.2777777777777781,-1.1111111111111105,0.002243840416412595,0.007421933685057044,-0.00024166666666666667,0.00015342553795415475,0.009553306999974835
10,9100,71.19999695,2.5,86.0,348.25,1,41.48915389,-71.52181694,7,8,2.2222222222222223,-1.3888888888888888,-1.666666666666667,0.00138082487163852,0.008802758556695564,-0.00024184027777777778,0.00015342553795415475,0.009553306999974835
11,10100,71.19999695,-1.0,86.0,348.0,1,41.48915389,-71.52181694,7,8,2.2222222222222223,0.0,1.3888888888888888,0.00138082487163852,0.010183583428334083,9.666666666666665e-05,0.00015342553795415475,0.009553306999974835
12,11100,71.19999695,-1.0,86.0,348.0,1,41.48915389,-71.52181694,7,8,2.2222222222222223,0.0,0.0,0.00138082487163852,0.011564408299972602,9.666666666666665e-05,0.00015342553795415475,0.009553306999974835
13,12100,71.19999695,-1.0,86.0,348.0,1,41.48915389,-71.52181694,7,8,2.2222222222222223,0.0,0.0,0.00138082487163852,0.012945233171611122,9.666666666666665e-05,0.00015342553795415475,0.009553306999974835
