,Timestamp_ms,Altitude_m,HV Battery Current_A,HV Battery SOC_Pctg,HV Battery Voltage_V,Is Driving_bool,Latitude_deg,Longitude_deg,OAT_degC,Vehicle Speed_kmh,Vehicle Speed_m_s,Vehicle Acceleration,Vehicle Jerk,Dist_in_s,Cumsum_Dist,kwh,Start_Cut,End_Cut
0,0,72.19999695,0.0,0.0,0.0,0,41.48918694,-71.52199694,0,0,0.0,,,0.0,0.0,-0.0,0.0003245605139130184,0.009516189456256591
1,1000,72.19999695,-1.25,95.0,356.5,1,41.48918694,-71.52199694,-5,0,0.0,0.0,,0.0,0.0,0.00012378472222222223,0.0003245605139130184,0.009516189456256591
2,2000,72.19999695,-1.25,95.0,356.5,1,41.48918694,-71.52199694,-5,0,0.0,0.0,0.0,0.0,0.0,0.00012378472222222223,0.0003245605139130184,0.009516189456256591
3,3000,72.19999695,-1.25,95.0,356.5,1,41.48918694,-71.52199694,-5,0,0.0,0.0,0.0,0.0,0.0,0.00012378472222222223,0.0003245605139130184,0.009516189456256591
4,4000,72.19999695,-1.25,95.0,356.5,1,41.48918694,-71.52199694,-5,0,0.0,0.0,0.0,0.0,0.0,0.00012378472222222223,0.0003245605139130184,0.009516189456256591
5,5000,72.19999695,-1.25,95.0,356.5,1,41.48918694,-71.52199694,-5,0,0.0,0.0,0.0,0.0,0.0,0.00012378472222222223,0.0003245605139130184,0.009516189456256591
6,6000,72.19999695,-1.25,95.0,356.5,1,41.48918694,-71.52199694,-5,0,0.0,0.0,0.0,0.0,0.0,0.00012378472222222223,0.0003245605139130184,0.009516189456256591
7,7000,72.19999695,-1.25,95.0,355.25,1,41.48918694,-71.52199694,-5,0,0.0,0.0,0.0,0.0,0.0,0.00012335069444444446,0.0003245605139130184,0.009516189456256591
8,8000,72.19999695,-25.5,95.0,354.0,1,41.48918694,-71.52199694,-5,6,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.00103561865372889,0.00103561865372889,0.0025074999999999997,0.0003245605139130184,0.009516189456256591
9,9000,72.19999695,-25.5,95.0,354.0,1,41.48918694,-71.52199694,-5,10,2.7777777777777777,1.1111111111111112,-0.5555555555555554,0.0017260310895481498,0.0027616497432770394,0.0025074999999999997,0.0003245605139130184,0.009516189456256591
10,10000,72.19999695,-34.75,95.0,354.0,1,41.48918694,-71.52199694,-5,14,3.888888888888889,1.1111111111111112,0.0,0.0024164435253674096,0.005178093268644449,0.0034170833333333336,0.0003245605139130184,0.009516189456256591
11,11000,72.69999695,-30.5,95.0,355.25,1,41.48921833,-71.5218875,-5,13,3.611111111111111,-0.2777777777777777,-1.3888888888888888,0.002243840416412595,0.0074219336850570436,0.0030097569444444442,0.00021479901978204024,0.009586035615358935
12,12000,72.69999695,-16.25,95.0,355.25,1,41.48921833,-71.5218875,-5,10,2.7777777777777777,-0.8333333333333335,-0.5555555555555558,0.0017260310895481498,0.009147964774605194,0.0016035590277777778,0.00021479901978204024,0.009586035615358935
13,13000,72.69999695,4.75,95.0,356.0,1,41.48921833,-71.5218875,-5,6,1.6666666666666665,-1.1111111111111112,-0.2777777777777777,0.00103561865372889,0.010183583428334083,-0.00046972222222222223,0.00021479901978204024,0.009586035615358935
14,14000,72.69999695,-5.75,95.0,356.0,1,41.48921833,-71.5218875,-5,2,0.5555555555555556,-1.111111111111111,2.220446049250313e-16,0.00034520621790963,0.010528789646243713,0.0005686111111111112,0.00021479901978204024,0.009586035615358935
15,15000,72.69999695,-5.5,95.0,355.25,1,41.48921833,-71.5218875,-5,2,0.5555555555555556,0.0,1.111111111111111,0.00034520621790963,0.010873995864153344,0.0005427430555555555,0.00021479901978204024,0.009586035615358935
16,16000,72.69999695,-5.5,95.0,355.25,1,41.48921833,-71.5218875,-5,2,0.5555555555555556,0.0,0.0,0.00034520621790963,0.011219202082062974,0.0005427430555555555,0.00021479901978204024,0.009586035615358935
17,17000,72.69999695,-5.5,95.0,355.25,1,41.48921833,-71.5218875,-5,2,0.5555555555555556,0.0,0.0,0.00034520621790963,0.011564408299972604,0.0005427430555555555,0.00021479901978204024,0.009586035615358935
18,18000,72.69999695,-5.5,95.0,355.25,1,41.48921833,-71.5218875,-5,2,0.5555555555555556,0.0,0.0,0.00034520621790963,0.011909614517882234,0.0005427430555555555,0.00021479901978204024,0.009586035615358935
19,19000,72.69999695,-5.5,95.0,355.25,1,41.48921833,-71.5218875,-5,2,0.5555555555555556,0.0,0.0,0.00034520621790963,0.012254820735791865,0.0005427430555555555,0.00021479901978204024,0.009586035615358935
20,20000,72.69999695,-5.5,95.0,355.25,1,41.48921833,-71.5218875,-5,2,0.5555555555555556,0.0,0.0,0.00034520621790963,0.012600026953701495,0.0005427430555555555,0.00021479901978204024,0.009586035615358935
21,21000,73.69999695,-54.25,95.0,353.0,1,41.48920278,-71.52178833,-5,8,2.2222222222222223,1.6666666666666667,1.6666666666666667,0.00138082487163852,0.013980851825340014,0.005319513888888889,0.00011540718045241243,0.009609446263823443
22,22000,73.69999695,-54.25,95.0,352.5,1,41.48920278,-71.52178833,-5,8,2.2222222222222223,0.0,-1.6666666666666667,0.00138082487163852,0.015361676696978533,0.005311979166666667,0.00011540718045241243,0.009609446263823443
23,23000,73.69999695,-50.0,95.0,355.25,1,41.48920278,-71.52178833,-5,15,4.166666666666667,1.9444444444444446,1.9444444444444446,0.002589046634322225,0.01795072333130076,0.004934027777777778,0.00011540718045241243,0.009609446263823443
24,24000,73.69999695,-11.25,95.0,355.25,1,41.48920278,-71.52178833,-5,15,4.166666666666667,0.0,-1.9444444444444446,0.002589046634322225,0.020539769965622984,0.00111015625,0.00011540718045241243,0.009609446263823443
25,25000,73.69999695,-1.0,95.0,356.25,1,41.48920278,-71.52178833,-5,9,2.5,-1.666666666666667,-1.666666666666667,0.0015534279805933348,0.02209319794621632,9.895833333333333e-05,0.00011540718045241243,0.009609446263823443
26,26000,73.69999695,-6.5,95.0,355.25,1,41.48920278,-71.52178833,-5,7,1.9444444444444444,-0.5555555555555556,1.1111111111111114,0.0012082217626837048,0.023301419708900022,0.0006414236111111111,0.00011540718045241243,0.009609446263823443
27,27000,73.69999695,-16.25,95.0,355.25,1,41.48920278,-71.52178833,-5,6,1.6666666666666665,-0.2777777777777779,0.2777777777777777,0.00103561865372889,0.02433703836262891,0.0016035590277777778,0.00011540718045241243,0.009609446263823443
28,28000,73.69999695,-57.75,95.0,350.75,1,41.48920278,-71.52178833,-5,14,3.888888888888889,2.2222222222222223,2.5,0.0024164435253674096,0.02675348188799632,0.005626614583333333,0.00011540718045241243,0.009609446263823443
29,29000,73.69999695,-79.5,95.0,349.0,1,41.48920278,-71.52178833,-5,21,5.833333333333333,1.9444444444444442,-0.2777777777777781,0.0036246652880511146,0.030378147176047435,0.007707083333333333,0.00011540718045241243,0.009609446263823443
30,30000,73.69999695,-101.25,95.0,347.5,1,41.48920278,-71.52178833,-5,28,7.777777777777778,1.9444444444444446,4.440892098500626e-16,0.004832887050734819,0.035211034226782255,0.009773437500000001,0.00011540718045241243,0.009609446263823443
31,31000,74.80000305,-114.75,95.0,345.75,1,41.48940861,-71.521845,-5,36,10.0,2.2222222222222223,0.2777777777777777,0.006213711922373339,0.041424746149155596,0.01102078125,0.0002650105509151683,0.009778374506641922
32,32000,74.80000305,-114.75,95.0,349.5,1,41.48940861,-71.521845,-5,43,11.944444444444445,1.9444444444444446,-0.2777777777777777,0.007421933685057044,0.04884667983421264,0.011140312500000001,0.0002650105509151683,0.009778374506641922
33,33000,74.80000305,-132.5,95.0,349.5,1,41.48940861,-71.521845,-5,48,13.333333333333332,1.3888888888888875,-0.5555555555555571,0.00828494922983112,0.05713162906404376,0.012863541666666667,0.0002650105509151683,0.009778374506641922
34,34000,74.80000305,-80.0,95.0,349.5,1,41.48940861,-71.521845,-5,48,13.333333333333332,0.0,-1.3888888888888875,0.00828494922983112,0.06541657829387487,0.0077666666666666665,0.0002650105509151683,0.009778374506641922
35,35000,74.80000305,-16.75,95.0,355.25,1,41.48940861,-71.521845,-5,51,14.166666666666666,0.8333333333333339,0.8333333333333339,0.008802758556695564,0.07421933685057043,0.0016528993055555555,0.0002650105509151683,0.009778374506641922
36,36000,74.80000305,-17.5,95.0,357.75,1,41.48940861,-71.521845,-5,52,14.444444444444445,0.27777777777777857,-0.5555555555555554,0.00897536166565038,0.08319469851622081,0.0017390625,0.0002650105509151683,0.009778374506641922
