--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/15/18 12:47,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,72.19999695,0,0,0,0,41.48918694,-71.52199694,0,0
1000,72.19999695,-1.25,95,356.5,1,41.48918694,-71.52199694,-5,0
2000,72.19999695,-1.25,95,356.5,1,41.48918694,-71.52199694,-5,0
3000,72.19999695,-1.25,95,356.5,1,41.48918694,-71.52199694,-5,0
4000,72.19999695,-1.25,95,356.5,1,41.48918694,-71.52199694,-5,0
5000,72.19999695,-1.25,95,356.5,1,41.48918694,-71.52199694,-5,0
6000,72.19999695,-1.25,95,356.5,1,41.48918694,-71.52199694,-5,0
7000,72.19999695,-1.25,95,355.25,1,41.48918694,-71.52199694,-5,0
8000,72.19999695,-25.5,95,354,1,41.48918694,-71.52199694,-5,6
9000,72.19999695,-25.5,95,354,1,41.48918694,-71.52199694,-5,10
10000,72.19999695,-34.75,95,354,1,41.48918694,-71.52199694,-5,14
11000,72.69999695,-30.5,95,355.25,1,41.48921833,-71.5218875,-5,13
12000,72.69999695,-16.25,95,355.25,1,41.48921833,-71.5218875,-5,10
13000,72.69999695,4.75,95,356,1,41.48921833,-71.5218875,-5,6
14000,72.69999695,-5.75,95,356,1,41.48921833,-71.5218875,-5,2
15000,72.69999695,-5.5,95,355.25,1,41.48921833,-71.5218875,-5,2
16000,72.69999695,-5.5,95,355.25,1,41.48921833,-71.5218875,-5,2
17000,72.69999695,-5.5,95,355.25,1,41.48921833,-71.5218875,-5,2
18000,72.69999695,-5.5,95,355.25,1,41.48921833,-71.5218875,-5,2
19000,72.69999695,-5.5,95,355.25,1,41.48921833,-71.5218875,-5,2
20000,72.69999695,-5.5,95,355.25,1,41.48921833,-71.5218875,-5,2
21000,73.69999695,-54.25,95,353,1,41.48920278,-71.52178833,-5,8
22000,73.69999695,-54.25,95,352.5,1,41.48920278,-71.52178833,-5,8
23000,73.69999695,-50,95,355.25,1,41.48920278,-71.52178833,-5,15
24000,73.69999695,-11.25,95,355.25,1,41.48920278,-71.52178833,-5,15
25000,73.69999695,-1,95,356.25,1,41.48920278,-71.52178833,-5,9
26000,73.69999695,-6.5,95,355.25,1,41.48920278,-71.52178833,-5,7
27000,73.69999695,-16.25,95,355.25,1,41.48920278,-71.52178833,-5,6
28000,73.69999695,-57.75,95,350.75,1,41.48920278,-71.52178833,-5,14
29000,73.69999695,-79.5,95,349,1,41.48920278,-71.52178833,-5,21
30000,73.69999695,-101.25,95,347.5,1,41.48920278,-71.52178833,-5,28
31000,74.80000305,-114.75,95,345.75,1,41.48940861,-71.521845,-5,36
32000,74.80000305,-114.75,95,349.5,1,41.48940861,-71.521845,-5,43
33000,74.80000305,-132.5,95,349.5,1,41.48940861,-71.521845,-5,48
34000,74.80000305,-80,95,349.5,1,41.48940861,-71.521845,-5,48
35000,74.80000305,-16.75,95,355.25,1,41.48940861,-71.521845,-5,51
36000,74.80000305,-17.5,95,357.75,1,41.48940861,-71.521845,-5,52
37000,74.80000305,25.75,95,357.75,1,41.48940861,-71.521845,-5,51
38000,74.80000305,29.5,95,358,1,41.48940861,-71.521845,-5,50
39000,74.80000305,30.5,95,357.25,1,41.48940861,-71.521845,-5,49
40000,74.80000305,23.25,95,357.25,1,41.48940861,-71.521845,-5,46
41000,70,28.75,95,358.25,1,41.48981944,-71.52331278,-5,45
42000,70,29.25,95,357.25,1,41.48981944,-71.52331278,-5,41
43000,70,14,95,358.25,1,41.48981944,-71.52331278,-5,35
44000,70,30.75,95,358,1,41.48981944,-71.52331278,-5,33
45000,70,17,95,355.75,1,41.48981944,-71.52331278,-5,27
46000,70,-6,95,357.5,1,41.48981944,-71.52331278,-5,26
47000,70,18,95,355.75,1,41.48981944,-71.52331278,-5,21
48000,70,-9.75,95,356.25,1,41.48981944,-71.52331278,-5,14
49000,70,3.25,95,355.5,1,41.48981944,-71.52331278,-5,12
50000,70,-11.5,95,354.75,1,41.48981944,-71.52331278,-5,5
51000,68.90000153,-23.25,95,354.75,1,41.49003806,-71.52398278,-5,12
52000,68.90000153,-71.75,95,347.75,1,41.49003806,-71.52398278,-5,12
53000,68.90000153,-117.5,95,347.75,1,41.49003806,-71.52398278,-5,33
54000,68.90000153,-141,95,345.75,1,41.49003806,-71.52398278,-5,33
55000,68.90000153,-137.5,95,349.25,1,41.49003806,-71.52398278,-5,41
56000,68.90000153,-76.75,95,351.25,1,41.49003806,-71.52398278,-5,46
57000,68.90000153,-51.5,95,351,1,41.49003806,-71.52398278,-5,49
58000,68.90000153,-51.5,95,351.25,1,41.49003806,-71.52398278,-5,50
59000,68.90000153,-49.25,95,353.25,1,41.49003806,-71.52398278,-5,50
60000,68.90000153,-56.5,95,353.25,1,41.49003806,-71.52398278,-5,50
61000,68.90000153,-27.5,95,353.75,1,41.49003806,-71.52398278,-5,50
62000,64.90000153,-26.5,95,353.25,1,41.49034333,-71.52533889,-5,50
63000,64.90000153,-34,95,352.25,1,41.49034333,-71.52533889,-5,50
64000,64.90000153,-53,95,352.25,1,41.49034333,-71.52533889,-5,51
65000,64.90000153,-51.25,95,352.5,1,41.49034333,-71.52533889,-5,53
66000,64.90000153,-51.25,95,353.75,1,41.49034333,-71.52533889,-5,54
67000,64.90000153,-26.25,95,353.75,1,41.49034333,-71.52533889,-5,56
68000,64.90000153,-10.75,95,354.5,1,41.49034333,-71.52533889,-5,56
69000,64.90000153,-10.75,95,354.5,1,41.49034333,-71.52533889,-5,57
70000,64.90000153,-10.75,95,357,1,41.49034333,-71.52533889,-5,57
71000,64.90000153,28.5,95,356.75,1,41.49034333,-71.52533889,-5,56
72000,59.40000153,21.5,95,355.5,1,41.49057167,-71.52711,-5,55
73000,59.40000153,-1.75,95,355.5,1,41.49057167,-71.52711,-5,55
74000,59.40000153,9,95,355,1,41.49057167,-71.52711,-5,52
75000,59.40000153,-10.5,95,354.75,1,41.49057167,-71.52711,-5,52
76000,59.40000153,-10,95,354.75,1,41.49057167,-71.52711,-5,52
77000,59.40000153,-11,95,354.75,1,41.49057167,-71.52711,-5,53
78000,59.40000153,-9.75,95,355.5,1,41.49057167,-71.52711,-5,52
79000,59.40000153,-9.75,95,354.75,1,41.49057167,-71.52711,-5,53
80000,59.40000153,-7,95,354.75,1,41.49057167,-71.52711,-5,54
81000,59.40000153,-10,95,354.75,1,41.49057167,-71.52711,-5,54
82000,52.20000076,-12.5,95,357.5,1,41.49072444,-71.52886389,-5,53
83000,52.20000076,29.5,95,357.5,1,41.49072444,-71.52886389,-5,53
84000,52.20000076,25.75,95,356.75,1,41.49072444,-71.52886389,-5,52
85000,52.20000076,14.75,95,357.25,1,41.49072444,-71.52886389,-5,51
86000,52.20000076,28,95,357.25,1,41.49072444,-71.52886389,-5,49
87000,52.20000076,29,95,357.25,1,41.49072444,-71.52886389,-5,47
88000,52.20000076,29.5,95,357.25,1,41.49072444,-71.52886389,-5,43
89000,52.20000076,28.5,95,357.25,1,41.49072444,-71.52886389,-5,37
90000,52.20000076,27.5,95,357.25,1,41.49072444,-71.52886389,-5,31
91000,52.20000076,27.75,95,357.25,1,41.49072444,-71.52886389,-5,26
92000,47.20000076,-4.25,95,355.75,1,41.49087278,-71.53031778,-5,24
93000,47.20000076,24,95,358,1,41.49087278,-71.53031778,-5,19
94000,47.20000076,2.75,95,357,1,41.49087278,-71.53031778,-5,19
95000,47.20000076,-10.5,95,357,1,41.49087278,-71.53031778,-5,12
96000,47.20000076,-6.25,95,355.75,1,41.49087278,-71.53031778,-5,11
97000,47.20000076,-7,95,355.75,1,41.49087278,-71.53031778,-5,3
