--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/21/2018 13:08,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,0,0,41.5,320.75,1,0,0,0,0
1000,0,-11.25,41.5,320.75,1,0,0,0,0
2000,78.40000153,-16.25,41.5,320.5,1,41.48905583,-71.52185861,0,7
3000,78.40000153,-16.25,41.5,320.25,1,41.48905583,-71.52185861,0,9
4000,78.40000153,-26.25,41.5,319.5,1,41.48905583,-71.52185861,0,13
5000,78.40000153,-46,41.5,317.75,1,41.48905583,-71.52185861,0,19
6000,78.40000153,-74,41.5,315.75,1,41.48905583,-71.52185861,0,21
7000,78.40000153,-7,41.5,320.75,1,41.48905583,-71.52185861,0,19
8000,78.40000153,14,41.5,322.5,1,41.48905583,-71.52185861,0,14
9000,78.40000153,24.5,41.5,322.5,1,41.48905583,-71.52185861,0,14
10000,78.40000153,-9,41.5,321,1,41.48905583,-71.52185861,0,3
11000,79.19999695,-9,41.5,320.5,1,41.48928111,-71.52163611,0,6
12000,79.19999695,-13.25,41.5,318.25,1,41.48928111,-71.52163611,0,14
13000,79.19999695,-43.25,41.5,318.25,1,41.48928111,-71.52163611,0,14
14000,79.19999695,-78.25,41.5,316,1,41.48928111,-71.52163611,0,24
15000,79.19999695,-168.25,41.5,309.25,1,41.48928111,-71.52163611,0,41
16000,79.19999695,-294.75,41.5,300.25,1,41.48928111,-71.52163611,0,51
17000,79.19999695,-333.25,41.5,295.5,1,41.48928111,-71.52163611,0,61
18000,79.19999695,-16,41.5,313.75,1,41.48928111,-71.52163611,0,62
19000,79.19999695,-18,41.5,318.5,1,41.48928111,-71.52163611,0,63
20000,79.19999695,-14,41.5,319.5,1,41.48928111,-71.52163611,0,63
21000,79.19999695,53.75,41.5,327.5,1,41.48928111,-71.52163611,0,63
22000,73.5,84.75,41.5,327.5,1,41.48970056,-71.52296139,0,61
23000,73.5,92,41.5,327.5,1,41.48970056,-71.52296139,0,58
24000,73.5,92.25,41.5,328,1,41.48970056,-71.52296139,0,51
25000,73.5,91.25,41.5,328,1,41.48970056,-71.52296139,0,46
26000,73.5,65,41.5,327,1,41.48970056,-71.52296139,0,41
27000,73.5,74,41.5,327,1,41.48970056,-71.52296139,0,36
28000,73.5,54,41.5,327.5,1,41.48970056,-71.52296139,0,31
29000,73.5,74.5,41.5,327.5,1,41.48970056,-71.52296139,0,23
30000,73.5,20,41.5,321,1,41.48970056,-71.52296139,0,13
31000,70.5,-7.75,41.5,318.75,1,41.49005444,-71.52398833,0,9
32000,70.5,-39.25,41.5,314,1,41.49005444,-71.52398833,0,11
33000,70.5,-115,41.5,307.75,1,41.49005444,-71.52398833,0,18
34000,70.5,-115,41.5,307.75,1,41.49005444,-71.52398833,0,18
35000,70.5,-183.5,41.5,307.75,1,41.49005444,-71.52398833,0,29
36000,70.5,-231,41.5,303.25,1,41.49005444,-71.52398833,0,40
37000,70.5,-226,41.5,303.25,1,41.49005444,-71.52398833,0,50
38000,70.5,-332.75,41.5,319,1,41.49005444,-71.52398833,0,59
39000,70.5,-6,41.5,320,1,41.49005444,-71.52398833,0,64
40000,70.5,11.5,41.5,324.25,1,41.49005444,-71.52398833,0,63
