--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/14/2018 13:37,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0
1200,0,-1.75,74.5,338.75,1,0,0,0,0
2200,0,-1.75,74.5,338.75,1,0,0,0,0
3200,0,-1.75,74.5,338.75,1,0,0,0,0
4200,0,-1.75,74.5,338.75,1,0,0,0,0
5200,81,-4.25,74.5,339,1,41.481155,-71.52544917,2,1
6200,81,-4.25,74.5,339,1,41.481155,-71.52544917,2,2
7200,81,-4.25,74.5,338.75,1,41.481155,-71.52544917,2,0
8200,81,-14.75,74.5,338.5,1,41.481155,-71.52544917,2,0
9200,81,-14.75,74.5,338.5,1,41.481155,-71.52544917,2,0
10200,81,-14.75,74.5,338.5,1,41.481155,-71.52544917,2,0
11200,81,-24.5,74.5,338,1,41.481155,-71.52544917,2,7
12200,81,-24.5,74.5,337.75,1,41.481155,-71.52544917,2,13
13200,81,-24.5,74.5,336,1,41.481155,-71.52544917,2,23
14200,81,-64.25,74.5,333,1,41.481155,-71.52544917,2,23
15200,79,-106.5,74.5,333,1,41.48129444,-71.52549389,2,23
16200,79,-181.75,74.5,328.75,1,41.48129444,-71.52549389,2,41
17200,79,-7.5,74.5,337.5,1,41.48129444,-71.52549389,2,42
18200,79,-7,74.5,338.25,1,41.48129444,-71.52549389,2,42
19200,79,-3.75,74.5,338.5,1,41.48129444,-71.52549389,2,42
20200,79,1,74.5,338.5,1,41.48129444,-71.52549389,2,42
21200,79,-1,74.5,338.5,1,41.48129444,-71.52549389,2,42
22200,79,0.5,74.5,338.5,1,41.48129444,-71.52549389,2,43
23200,79,0.5,74.5,338.5,1,41.48129444,-71.52549389,2,43
24200,79,0,74.5,338.75,1,41.48129444,-71.52549389,2,43
25200,77.59999847,16,74.5,339,1,41.48233667,-71.52564278,2,43
26200,77.59999847,34,74.5,340.75,1,41.48233667,-71.52564278,2,39
27200,77.59999847,36.5,74.5,341,1,41.48233667,-71.52564278,2,36
28200,77.59999847,23,74.5,340.5,1,41.48233667,-71.52564278,2,32
29200,77.59999847,46.75,74.5,341.75,1,41.48233667,-71.52564278,2,28
30200,77.59999847,34.5,74.5,341.5,1,41.48233667,-71.52564278,2,23
31200,77.59999847,28.5,74.5,340.5,1,41.48233667,-71.52564278,2,19
32200,77.59999847,18.5,74.5,340.25,1,41.48233667,-71.52564278,2,9
33200,77.59999847,3,74.5,339.5,1,41.48233667,-71.52564278,2,9
34200,77.59999847,-4,74.5,339,1,41.48233667,-71.52564278,2,7
35200,78,-5.75,74.5,339,1,41.48288417,-71.52579222,2,7
36200,78,-6.25,74.5,339,1,41.48288417,-71.52579222,2,7
37200,78,-6.75,74.5,338.75,1,41.48288417,-71.52579222,2,7
38200,78,-7.5,74.5,338.75,1,41.48288417,-71.52579222,2,7
39200,78,-7.5,74.5,338.75,1,41.48288417,-71.52579222,2,7
40200,78,-7,74.5,338.75,1,41.48288417,-71.52579222,2,5
41200,78,-9.25,74.5,338.75,1,41.48288417,-71.52579222,2,5
42200,78,-10.25,74.5,339,1,41.48288417,-71.52579222,2,4
43200,78,-16.75,74.5,338.75,1,41.48288417,-71.52579222,2,6
44200,78,0.25,74.5,339.25,1,41.48288417,-71.52579222,2,7
45200,78,-4.75,74.5,339,1,41.48288417,-71.52579222,2,3
46200,78,-4.75,74.5,339,1,41.48288417,-71.52579222,2,3
47200,78,-4.75,74.5,339,1,41.48288417,-71.52579222,2,3
48200,78.19999695,-7.25,74.5,338.75,1,41.48304861,-71.52582417,2,9
49200,78.19999695,-7.25,74.5,338.75,1,41.48304861,-71.52582417,2,13
50200,78.19999695,-78,74.5,335,1,41.48304861,-71.52582417,2,24
51200,78.19999695,-133,74.5,331.75,1,41.48304861,-71.52582417,2,36
52200,78.19999695,-158,74.5,328,1,41.48304861,-71.52582417,2,40
53200,78.19999695,-34,74.5,336.5,1,41.48304861,-71.52582417,2,40
54200,78.19999695,-0.5,74.5,338.25,1,41.48304861,-71.52582417,2,40
55200,78.19999695,-0.5,74.5,338.25,1,41.48304861,-71.52582417,2,39
56200,78.19999695,1,74.5,338.25,1,41.48304861,-71.52582417,2,39
57200,78.19999695,-3.75,74.5,338.5,1,41.48304861,-71.52582417,2,38
58200,77.19999695,-5,74.5,338.25,1,41.48385083,-71.52588417,2,38
59200,77.19999695,-4,74.5,338.5,1,41.48385083,-71.52588417,2,38
60200,77.19999695,-5,74.5,338.25,1,41.48385083,-71.52588417,2,38
61200,77.19999695,-4.75,74.5,338.5,1,41.48385083,-71.52588417,2,37
62200,77.19999695,-12.75,74.5,338.25,1,41.48385083,-71.52588417,2,37
63200,77.19999695,-4,74.5,338.5,1,41.48385083,-71.52588417,2,36
64200,77.19999695,-7,74.5,338.5,1,41.48385083,-71.52588417,2,36
65200,77.19999695,-7,74.5,338.5,1,41.48385083,-71.52588417,2,36
66200,77.19999695,-7,74.5,337,1,41.48385083,-71.52588417,2,36
67200,77.19999695,-38.75,74.5,337,1,41.48385083,-71.52588417,2,36
68200,76.69999695,-10.75,74.5,338.5,1,41.48477194,-71.52594361,2,35
69200,76.69999695,1.75,74.5,338.75,1,41.48477194,-71.52594361,2,34
70200,76.69999695,-0.5,74.5,338.75,1,41.48477194,-71.52594361,2,33
71200,76.69999695,-0.5,74.5,338.75,1,41.48477194,-71.52594361,2,30
72200,76.69999695,47.75,74.5,341.5,1,41.48477194,-71.52594361,2,25
73200,76.69999695,44,74.5,341.5,1,41.48477194,-71.52594361,2,19
74200,76.69999695,26,74.5,340.5,1,41.48477194,-71.52594361,2,15
75200,76.69999695,11,74.5,339.75,1,41.48477194,-71.52594361,2,12
76200,76.69999695,0.5,74.5,339.25,1,41.48477194,-71.52594361,2,12
77200,76.69999695,-4,74.5,339,1,41.48477194,-71.52594361,2,11
78200,76.30000305,-4,74.5,339,1,41.48531472,-71.52594083,2,11
79200,76.30000305,1.75,74.5,339.25,1,41.48531472,-71.52594083,2,10
80200,76.30000305,0,74.5,339.25,1,41.48531472,-71.52594083,2,7
81200,76.30000305,-4,74.5,339,1,41.48531472,-71.52594083,2,6
82200,76.30000305,-6.5,74.5,338.75,1,41.48531472,-71.52594083,2,7
83200,76.30000305,-4.5,74.5,339,1,41.48531472,-71.52594083,2,4
84200,76.30000305,-5.25,74.5,339,1,41.48531472,-71.52594083,2,4
85200,76.30000305,-5,74.5,338.75,1,41.48531472,-71.52594083,2,1
86200,76.30000305,-5.5,74.5,339,1,41.48531472,-71.52594083,2,1
87200,76.30000305,-31.75,74.5,338,1,41.48531472,-71.52594083,2,7
88200,77.09999847,-31.75,74.5,337.5,1,41.48544778,-71.52594861,2,7
89200,77.09999847,-54.75,74.5,336,1,41.48544778,-71.52594861,2,20
90200,77.09999847,-73.5,74.5,335,1,41.48544778,-71.52594861,2,27
91200,77.09999847,-73.5,74.5,335,1,41.48544778,-71.52594861,2,31
92200,77.09999847,-72.75,74.5,336.75,1,41.48544778,-71.52594861,2,32
93200,77.09999847,-23.5,74.5,336.75,1,41.48544778,-71.52594861,2,32
94200,77.09999847,-0.75,74.5,338.5,1,41.48544778,-71.52594861,2,32
95200,77.09999847,0.5,74.5,338.75,1,41.48544778,-71.52594861,2,32
96200,77.09999847,-0.25,74.5,338.75,1,41.48544778,-71.52594861,2,32
97200,77.09999847,-3.5,74.5,338.75,1,41.48544778,-71.52594861,2,32
98200,73.5,-4,74.5,338.5,1,41.48611778,-71.52588167,2,32
99200,73.5,-3.75,74.5,338.75,1,41.48611778,-71.52588167,2,32
100200,73.5,-3.75,74.5,338.75,1,41.48611778,-71.52588167,2,32
101200,73.5,-60.75,74.5,336.25,1,41.48611778,-71.52588167,2,34
102200,73.5,-1.5,74.5,338.5,1,41.48611778,-71.52588167,2,33
103200,73.5,-3.75,74.5,338.5,1,41.48611778,-71.52588167,2,33
104200,73.5,-3.75,74.5,338.75,1,41.48611778,-71.52588167,2,32
105200,73.5,20,74.5,339.75,1,41.48611778,-71.52588167,2,26
106200,73.5,46.25,74.5,341.5,1,41.48611778,-71.52588167,2,26
107200,73.5,35,74.5,341.25,1,41.48611778,-71.52588167,2,14
108200,72.19999695,25,74.5,340.75,1,41.48682583,-71.52565444,2,7
109200,72.19999695,-1,74.5,339.25,1,41.48682583,-71.52565444,2,3
