--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/26/2018 19:23,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0
1300,0,-1.75,55.5,329.25,1,0,0,7,0
2300,0,-1.75,55.5,329.25,1,0,0,7,0
3300,0,-1.75,55.5,329.25,1,0,0,7,0
4300,0,-1.75,55.5,329.25,1,0,0,7,0
5300,0,-1.75,55.5,329.25,1,0,0,7,0
6300,0,-1.75,55.5,329.25,1,0,0,7,0
7300,0,-1.75,55.5,329.25,1,0,0,7,0
8300,0,-1.75,55.5,329.25,1,0,0,7,0
9300,0,-1.75,55.5,329.25,1,0,0,7,0
10300,0,-1.75,55.5,329.25,1,0,0,7,0
11300,0,-1.25,55.5,329.25,1,0,0,7,0
12300,0,-1.25,55.5,329.25,1,0,0,7,0
13300,0,-1.25,55.5,329.25,1,0,0,7,0
14300,0,-1.25,55.5,329.25,1,0,0,7,0
15300,0,-1.25,55.5,329.25,1,0,0,7,0
16300,86.59999847,-1.25,55.5,329.25,1,41.48914778,-71.52178444,7,0
17300,86.59999847,-10.5,55.5,328.75,1,41.48914778,-71.52178444,7,3
18300,86.59999847,-10.5,55.5,328.75,1,41.48914778,-71.52178444,7,3
19300,86.59999847,-1.75,55.5,329.25,1,41.48914778,-71.52178444,7,5
20300,86.59999847,-2.5,55.5,329.25,1,41.48914778,-71.52178444,7,5
21300,86.59999847,-12.75,55.5,328.75,1,41.48914778,-71.52178444,7,4
22300,86.59999847,-28.25,55.5,328,1,41.48914778,-71.52178444,7,5
23300,86.59999847,-48.5,55.5,326.5,1,41.48914778,-71.52178444,7,11
24300,86.59999847,-10,55.5,328.75,1,41.48914778,-71.52178444,7,13
25300,86.59999847,-9.75,55.5,328.75,1,41.48914778,-71.52178444,7,12
26300,86,1,55.5,329.25,1,41.48922056,-71.52161611,7,10
27300,86,-3.75,55.5,329.25,1,41.48922056,-71.52161611,7,8
28300,86,-9.25,55.5,329.25,1,41.48922056,-71.52161611,7,4
29300,86,-2,55.5,329.25,1,41.48922056,-71.52161611,7,3
30300,86,-24.5,55.5,328.25,1,41.48922056,-71.52161611,7,6
31300,86,-55.5,55.5,326.5,1,41.48922056,-71.52161611,7,12
32300,86,-72,55.5,325.5,1,41.48922056,-71.52161611,7,19
33300,86,-97.5,55.5,324,1,41.48922056,-71.52161611,7,26
34300,86,-99.5,55.5,323.5,1,41.48922056,-71.52161611,7,34
35300,86,-99.5,55.5,324,1,41.48922056,-71.52161611,7,40
36300,83.30000305,-85.25,55.5,325,1,41.4894375,-71.52209194,7,44
37300,83.30000305,-64.5,55.5,325,1,41.4894375,-71.52209194,7,48
38300,83.30000305,-65.5,55.5,327.75,1,41.4894375,-71.52209194,7,52
39300,83.30000305,-6,55.5,327.75,1,41.4894375,-71.52209194,7,52
40300,83.30000305,-2.5,55.5,328.5,1,41.4894375,-71.52209194,7,53
41300,83.30000305,-4.75,55.5,328.5,1,41.4894375,-71.52209194,7,54
42300,83.30000305,-2.75,55.5,328.5,1,41.4894375,-71.52209194,7,55
43300,83.30000305,-4.25,55.5,328.5,1,41.4894375,-71.52209194,7,57
44300,83.30000305,-4.75,55.5,328.5,1,41.4894375,-71.52209194,7,58
45300,83.30000305,126.25,55.5,335,1,41.4894375,-71.52209194,7,56
46300,83.30000305,125.5,55.5,335.75,1,41.4894375,-71.52209194,7,47
47300,73.69999695,105,55.5,335.5,1,41.48998444,-71.52379944,7,37
48300,73.69999695,81.25,55.5,334,1,41.48998444,-71.52379944,7,27
49300,73.69999695,50.5,55.5,332.5,1,41.48998444,-71.52379944,7,17
50300,73.69999695,50.5,55.5,329.75,1,41.48998444,-71.52379944,7,6
51300,73.69999695,-10,55.5,329,1,41.48998444,-71.52379944,7,6
52300,73.69999695,-101.25,55.5,324.25,1,41.48998444,-71.52379944,7,16
53300,73.69999695,-101.25,55.5,324.25,1,41.48998444,-71.52379944,7,28
54300,73.69999695,-164.5,55.5,320.5,1,41.48998444,-71.52379944,7,28
55300,73.69999695,-190.25,55.5,318.75,1,41.48998444,-71.52379944,7,51
56300,73.69999695,-309.5,55.5,312,1,41.48998444,-71.52379944,7,62
57300,71.59999847,-202,55.5,315.75,1,41.49021361,-71.52457028,7,65
58300,71.59999847,-93,55.5,322.5,1,41.49021361,-71.52457028,7,66
59300,71.59999847,-2.75,55.5,327.5,1,41.49021361,-71.52457028,7,65
60300,71.59999847,-4.5,55.5,327.75,1,41.49021361,-71.52457028,7,64
61300,71.59999847,-4,55.5,327.75,1,41.49021361,-71.52457028,7,63
62300,71.59999847,-2,55,328,1,41.49021361,-71.52457028,7,63
63300,71.59999847,-2,55,328,1,41.49021361,-71.52457028,7,64
64300,71.59999847,-0.5,55,328,1,41.49021361,-71.52457028,7,64
65300,71.59999847,2,55,328,1,41.49021361,-71.52457028,7,64
66300,71.59999847,-3.5,55,328,1,41.49021361,-71.52457028,7,65
67300,66.69999695,-9,55,328.5,1,41.49057639,-71.5266425,7,66
68300,66.69999695,-6.5,55,328.25,1,41.49057639,-71.5266425,7,66
69300,66.69999695,-4.25,55,328,1,41.49057639,-71.5266425,7,67
70300,66.69999695,-2.5,55,328.5,1,41.49057639,-71.5266425,7,67
71300,66.69999695,-5.5,55,328.25,1,41.49057639,-71.5266425,7,67
72300,66.69999695,-3,55,328,1,41.49057639,-71.5266425,7,67
73300,66.69999695,-4.25,55,328.25,1,41.49057639,-71.5266425,7,67
74300,66.69999695,-3.25,55,328.25,1,41.49057639,-71.5266425,7,67
75300,66.69999695,2.25,55,327.25,1,41.49057639,-71.5266425,7,68
76300,66.69999695,-4.25,55,328.5,1,41.49057639,-71.5266425,7,69
77300,60,12.5,55,328.75,1,41.4907875,-71.52885167,7,69
78300,60,25.25,55,329.75,1,41.4907875,-71.52885167,7,68
79300,60,55.5,55,332,1,41.4907875,-71.52885167,7,68
80300,60,94,55,333.25,1,41.4907875,-71.52885167,7,62
81300,60,121,55,335.5,1,41.4907875,-71.52885167,7,56
82300,60,126,55,336,1,41.4907875,-71.52885167,7,46
83300,60,64.5,55,335.5,1,41.4907875,-71.52885167,7,41
84300,60,123.5,55,336.25,1,41.4907875,-71.52885167,7,32
85300,60,105,55,335.5,1,41.4907875,-71.52885167,7,25
86300,60,105,55,335.5,1,41.4907875,-71.52885167,7,25
87300,53.20000076,62.75,55,333.25,1,41.49097028,-71.53051111,7,25
88300,53.20000076,47,55,332.5,1,41.49097028,-71.53051111,7,17
89300,53.20000076,-5,55,329.5,1,41.49097028,-71.53051111,7,6
90300,53.20000076,-5,55,329.5,1,41.49097028,-71.53051111,7,6
91300,53.20000076,-49.25,55,328.25,1,41.49097028,-71.53051111,7,9
92300,53.20000076,-49.25,55,327.25,1,41.49097028,-71.53051111,7,9
93300,53.20000076,-100.25,55,324.5,1,41.49097028,-71.53051111,7,20
94300,53.20000076,-147.5,55,321.5,1,41.49097028,-71.53051111,7,32
95300,53.20000076,-97,55,323,1,41.49097028,-71.53051111,7,41
96300,53.20000076,-100,55,323.25,1,41.49097028,-71.53051111,7,48
97300,51.20000076,-79.5,55,324.5,1,41.49106444,-71.53130333,7,53
98300,51.20000076,-46,55,326.25,1,41.49106444,-71.53130333,7,57
99300,51.20000076,-31,55,327,1,41.49106444,-71.53130333,7,60
100300,51.20000076,-5.25,55,328.25,1,41.49106444,-71.53130333,7,61
101300,51.20000076,-4.5,55,328.5,1,41.49106444,-71.53130333,7,62
102300,51.20000076,-4,55,328.5,1,41.49106444,-71.53130333,7,64
103300,51.20000076,-4,55,328.5,1,41.49106444,-71.53130333,7,65
104300,51.20000076,-6.25,55,328.5,1,41.49106444,-71.53130333,7,65
105300,51.20000076,-3.25,55,328.5,1,41.49106444,-71.53130333,7,65
106300,51.20000076,-4,55,328.5,1,41.49106444,-71.53130333,7,64
107300,41.70000076,-4,55,328.5,1,41.49138833,-71.53331889,7,64
108300,41.70000076,-3,55,328.5,1,41.49138833,-71.53331889,7,63
109300,41.70000076,-3,55,328.5,1,41.49138833,-71.53331889,7,62
110300,41.70000076,-3.5,55,328.75,1,41.49138833,-71.53331889,7,61
111300,41.70000076,-5,55,328.75,1,41.49138833,-71.53331889,7,61
