--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/15/2018 13:37,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0
1600,0,-22.75,69,334.5,1,0,0,-3,0
2600,78.19999695,-43.5,69,331.75,1,41.48921194,-71.52192417,-3,12
3600,78.19999695,-43.5,69,332.5,1,41.48921194,-71.52192417,-3,17
4600,78.19999695,14.25,69,336.5,1,41.48921194,-71.52192417,-3,7
5600,78.19999695,1,69,336,1,41.48921194,-71.52192417,-3,7
6600,78.19999695,-1.25,69,335.75,1,41.48921194,-71.52192417,-3,2
7600,78.19999695,-1.5,69,335.75,1,41.48921194,-71.52192417,-3,2
8600,78.19999695,-1.5,69,335.75,1,41.48921194,-71.52192417,-3,2
9600,78.19999695,-1.5,69,335.75,1,41.48921194,-71.52192417,-3,2
10600,78.19999695,-1.5,69,335.75,1,41.48921194,-71.52192417,-3,4
11600,78.19999695,-2.5,69,335.75,1,41.48921194,-71.52192417,-3,6
12600,79.80000305,-2.5,69,334.25,1,41.48915083,-71.52177056,-3,7
13600,79.80000305,-26,69,334.25,1,41.48915083,-71.52177056,-3,7
14600,79.80000305,-11,69,335,1,41.48915083,-71.52177056,-3,8
15600,79.80000305,-21.25,69,334.25,1,41.48915083,-71.52177056,-3,9
16600,79.80000305,-7.5,69,335.25,1,41.48915083,-71.52177056,-3,8
17600,79.80000305,-5.5,69,335.25,1,41.48915083,-71.52177056,-3,5
18600,79.80000305,-4.5,69,335.5,1,41.48915083,-71.52177056,-3,3
19600,79.80000305,-6,69,335.5,1,41.48915083,-71.52177056,-3,6
20600,79.80000305,-4.75,69,335.25,1,41.48915083,-71.52177056,-3,4
21600,79.80000305,-4.5,69,335.5,1,41.48915083,-71.52177056,-3,1
22600,79.80000305,-4.5,69,335.5,1,41.48915083,-71.52177056,-3,0
23600,79.80000305,-4.5,69,335.5,1,41.48915083,-71.52177056,-3,0
24600,79.80000305,-4.5,69,335.5,1,41.48915083,-71.52177056,-3,0
25600,78.59999847,-4.5,69,335.5,1,41.48924139,-71.52165528,-3,0
26600,78.59999847,-16.5,69,335,1,41.48924139,-71.52165528,-3,3
27600,78.59999847,-16.5,69,335,1,41.48924139,-71.52165528,-3,3
28600,78.59999847,-36.75,69,333.5,1,41.48924139,-71.52165528,-3,15
29600,78.59999847,-31.5,69,333.75,1,41.48924139,-71.52165528,-3,16
30600,78.59999847,-4.25,69,335.25,1,41.48924139,-71.52165528,-3,16
31600,78.59999847,-4,69,335.5,1,41.48924139,-71.52165528,-3,16
32600,78.59999847,-25.5,69,334.25,1,41.48924139,-71.52165528,-3,19
33600,78.59999847,-27.75,69,334,1,41.48924139,-71.52165528,-3,22
34600,78.59999847,-26.25,69,334,1,41.48924139,-71.52165528,-3,24
35600,78.59999847,-16,69,334.5,1,41.48924139,-71.52165528,-3,25
36600,76.30000305,-3.75,69,335.25,1,41.48944167,-71.522105,-3,26
37600,76.30000305,-7.75,69,335.25,1,41.48944167,-71.522105,-3,28
38600,76.30000305,-24.75,69,334,1,41.48944167,-71.522105,-3,29
39600,76.30000305,-24.75,69,335.25,1,41.48944167,-71.522105,-3,30
40600,76.30000305,-5.75,69,335.25,1,41.48944167,-71.522105,-3,32
41600,76.30000305,-5.25,69,335.25,1,41.48944167,-71.522105,-3,32
42600,76.30000305,-6.75,69,335.25,1,41.48944167,-71.522105,-3,32
43600,76.30000305,0.5,69,336.25,1,41.48944167,-71.522105,-3,33
44600,76.30000305,-5,69,335.5,1,41.48944167,-71.522105,-3,33
45600,76.30000305,-4.25,69,335.5,1,41.48944167,-71.522105,-3,34
46600,71,21.75,69,338,1,41.48972167,-71.52306944,-3,34
47600,71,-6.5,69,335,1,41.48972167,-71.52306944,-3,35
48600,71,-4.25,69,335.5,1,41.48972167,-71.52306944,-3,36
49600,71,-4.5,69,335.5,1,41.48972167,-71.52306944,-3,38
50600,71,39.5,69,338.25,1,41.48972167,-71.52306944,-3,37
51600,71,75.25,69,340.25,1,41.48972167,-71.52306944,-3,33
52600,71,40.25,69,339,1,41.48972167,-71.52306944,-3,26
53600,71,38,69,338.75,1,41.48972167,-71.52306944,-3,22
54600,71,25,69,338.5,1,41.48972167,-71.52306944,-3,16
