--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/7/2018 19:48,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,0,0,33.5,320,1,0,0,0,0
1000,0,-2,33.5,320,1,0,0,15,0
2000,0,-2,33.5,320,1,0,0,15,0
3000,78.09999847,-55,33.5,318.75,1,41.48926194,-71.52198556,15,10
4000,78.09999847,-55,33.5,317.75,1,41.48926194,-71.52198556,15,17
5000,78.09999847,-40.75,33.5,318.25,1,41.48926194,-71.52198556,15,19
6000,78.09999847,-2,33.5,320,1,41.48926194,-71.52198556,15,14
7000,78.09999847,21,33.5,321,1,41.48926194,-71.52198556,15,7
8000,78.09999847,1,33.5,320.25,1,41.48926194,-71.52198556,15,7
9000,78.09999847,-5,33.5,320,1,41.48926194,-71.52198556,15,1
10000,78.09999847,-5.75,33.5,320,1,41.48926194,-71.52198556,15,4
11000,78.09999847,-5.75,33.5,319.5,1,41.48926194,-71.52198556,15,8
12000,78.09999847,-14,33.5,318.75,1,41.48926194,-71.52198556,15,11
13000,80.40000153,-28.5,33.5,318.75,1,41.48917667,-71.521705,15,11
14000,80.40000153,-2.5,33.5,319.75,1,41.48917667,-71.521705,15,11
15000,80.40000153,2,33.5,320.25,1,41.48917667,-71.521705,15,11
16000,80.40000153,3,33.5,320.25,1,41.48917667,-71.521705,15,3
17000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,3
18000,80.40000153,-5.75,33.5,320,1,41.48917667,-71.521705,15,2
19000,80.40000153,-8.75,33.5,319.5,1,41.48917667,-71.521705,15,5
20000,80.40000153,-1.25,33.5,320,1,41.48917667,-71.521705,15,5
21000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,2
22000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,2
23000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,2
24000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,2
25000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,2
26000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,2
27000,80.40000153,-1.5,33.5,320,1,41.48917667,-71.521705,15,2
28000,81.19999695,-35.75,33.5,319.5,1,41.48927167,-71.52161167,15,7
29000,81.19999695,-35.75,33.5,318.5,1,41.48927167,-71.52161167,15,15
30000,81.19999695,-75.5,33.5,316.75,1,41.48927167,-71.52161167,15,24
31000,81.19999695,-108.5,33.5,315,1,41.48927167,-71.52161167,15,32
32000,81.19999695,-141.75,33.5,313.25,1,41.48927167,-71.52161167,15,41
33000,81.19999695,-138.5,33.5,313.25,1,41.48927167,-71.52161167,15,47
34000,81.19999695,-103.25,33.5,314.5,1,41.48927167,-71.52161167,15,49
35000,81.19999695,-3.5,33.5,319.25,1,41.48927167,-71.52161167,15,50
36000,81.19999695,-3.5,33.5,319.5,1,41.48927167,-71.52161167,15,50
37000,81.19999695,-0.25,33.5,319.75,1,41.48927167,-71.52161167,15,51
38000,78.09999847,-1,33,319.75,1,41.48959944,-71.52267194,15,52
39000,78.09999847,0.75,33,319.5,1,41.48959944,-71.52267194,15,54
40000,78.09999847,-1.25,33,319.5,1,41.48959944,-71.52267194,15,55
41000,78.09999847,6,33,319.75,1,41.48959944,-71.52267194,15,56
42000,78.09999847,18.5,33,320,1,41.48959944,-71.52267194,15,54
43000,78.09999847,122,33,325.5,1,41.48959944,-71.52267194,15,49
44000,78.09999847,79.25,33,323.75,1,41.48959944,-71.52267194,15,43
45000,78.09999847,126.5,33,326.25,1,41.48959944,-71.52267194,15,34
46000,78.09999847,129.25,33,326.5,1,41.48959944,-71.52267194,15,22
47000,78.09999847,89.75,33,325,1,41.48959944,-71.52267194,15,11
48000,73,18.5,33,321.5,1,41.49002417,-71.52394694,15,3
49000,73,-0.75,33,320.5,1,41.49002417,-71.52394694,15,6
50000,73,-37.75,33,319,1,41.49002417,-71.52394694,15,16
51000,73,-96.25,33,316,1,41.49002417,-71.52394694,15,27
52000,73,-144.5,33,313.5,1,41.49002417,-71.52394694,15,37
53000,73,-176.25,33,311.75,1,41.49002417,-71.52394694,15,44
54000,73,-138.5,33,313,1,41.49002417,-71.52394694,15,49
55000,73,-116.25,33,314.25,1,41.49002417,-71.52394694,15,53
56000,73,-87,33,315.25,1,41.49002417,-71.52394694,15,55
57000,73,-46,33,316.75,1,41.49002417,-71.52394694,15,56
58000,71.19999695,-27,33,318,1,41.49029861,-71.52502889,15,56
59000,71.19999695,-18.5,33,318.75,1,41.49029861,-71.52502889,15,56
60000,71.19999695,-18.5,33,318.5,1,41.49029861,-71.52502889,15,56
61000,71.19999695,-24.5,33,319.75,1,41.49029861,-71.52502889,15,56
62000,71.19999695,1,33,319.75,1,41.49029861,-71.52502889,15,56
63000,71.19999695,2,33,319.5,1,41.49029861,-71.52502889,15,56
64000,71.19999695,1.25,33,319.75,1,41.49029861,-71.52502889,15,57
65000,71.19999695,-3.5,33,319.5,1,41.49029861,-71.52502889,15,58
66000,71.19999695,-5,33,319.5,1,41.49029861,-71.52502889,15,58
67000,71.19999695,-6,33,319.75,1,41.49029861,-71.52502889,15,59
68000,63.29999924,-4.25,33,319.75,1,41.4905625,-71.52688833,15,60
69000,63.29999924,-0.5,33,319.75,1,41.4905625,-71.52688833,15,61
70000,63.29999924,1.25,33,320,1,41.4905625,-71.52688833,15,60
71000,63.29999924,1.25,33,320,1,41.4905625,-71.52688833,15,61
72000,63.29999924,17.5,33,320.75,1,41.4905625,-71.52688833,15,59
73000,63.29999924,58,33,322.25,1,41.4905625,-71.52688833,15,56
74000,63.29999924,91,33,324.25,1,41.4905625,-71.52688833,15,53
75000,63.29999924,50.5,33,322.75,1,41.4905625,-71.52688833,15,53
76000,63.29999924,12.5,33,320.75,1,41.4905625,-71.52688833,15,53
77000,63.29999924,10.75,33,320.75,1,41.4905625,-71.52688833,15,53
78000,56.79999924,29,33,321.5,1,41.49074417,-71.52876611,15,50
79000,56.79999924,43.75,33,323,1,41.49074417,-71.52876611,15,50
80000,56.79999924,56.5,33,322.75,1,41.49074417,-71.52876611,15,48
81000,56.79999924,58.5,33,323,1,41.49074417,-71.52876611,15,46
82000,56.79999924,19.5,33,321.5,1,41.49074417,-71.52876611,15,46
83000,56.79999924,49.25,33,322.25,1,41.49074417,-71.52876611,15,42
84000,56.79999924,33.5,33,322.5,1,41.49074417,-71.52876611,15,41
85000,56.79999924,33.5,33,323.5,1,41.49074417,-71.52876611,15,41
86000,56.79999924,69,33,324.25,1,41.49074417,-71.52876611,15,37
87000,56.79999924,72.25,33,324.25,1,41.49074417,-71.52876611,15,33
88000,47.59999847,68.5,33,323.75,1,41.490885,-71.53016361,15,26
89000,47.59999847,97.25,33,325.5,1,41.490885,-71.53016361,15,20
90000,47.59999847,18.75,33,321.75,1,41.490885,-71.53016361,15,15
91000,47.59999847,36.5,33,322.75,1,41.490885,-71.53016361,15,10
92000,47.59999847,9.5,33,321.25,1,41.490885,-71.53016361,15,6
93000,47.59999847,0,33,320.75,1,41.490885,-71.53016361,15,4
94000,47.59999847,-0.75,33,320.75,1,41.490885,-71.53016361,15,6
95000,47.59999847,-2.75,33,320.75,1,41.490885,-71.53016361,15,9
96000,47.59999847,-1,33,320.5,1,41.490885,-71.53016361,15,10
97000,47.59999847,-0.75,33,320.75,1,41.490885,-71.53016361,15,10
98000,45.59999847,10,33,321,1,41.49092667,-71.5305225,15,5
99000,45.59999847,-0.5,33,320.5,1,41.49092667,-71.5305225,15,7
100000,45.59999847,-34.25,33,319.25,1,41.49092667,-71.5305225,15,18
101000,45.59999847,-86.25,33,316.75,1,41.49092667,-71.5305225,15,28
102000,45.59999847,-87.5,33,316.25,1,41.49092667,-71.5305225,15,35
103000,45.59999847,-66.5,33,317,1,41.49092667,-71.5305225,15,39
104000,45.59999847,-23.5,33,319,1,41.49092667,-71.5305225,15,41
105000,45.59999847,-16,33,319.75,1,41.49092667,-71.5305225,15,43
106000,45.59999847,-16,33,320.25,1,41.49092667,-71.5305225,15,43
107000,45.59999847,2,33,320.25,1,41.49092667,-71.5305225,15,44
108000,39.79999924,0,33,320.25,1,41.49108611,-71.53149861,15,46
109000,39.79999924,0,33,320.25,1,41.49108611,-71.53149861,15,47
110000,39.79999924,3.75,33,320,1,41.49108611,-71.53149861,15,48
111000,39.79999924,-0.75,33,320,1,41.49108611,-71.53149861,15,50
112000,39.79999924,-9.25,33,319.75,1,41.49108611,-71.53149861,15,52
113000,39.79999924,-1.5,33,320.25,1,41.49108611,-71.53149861,15,53
114000,39.79999924,0.25,33,320.25,1,41.49108611,-71.53149861,15,53
115000,39.79999924,21,33,320.75,1,41.49108611,-71.53149861,15,51
116000,39.79999924,50,33,322.75,1,41.49108611,-71.53149861,15,48
117000,39.79999924,28.25,33,322,1,41.49108611,-71.53149861,15,48
118000,39.79999924,1.5,33,320.75,1,41.49108611,-71.53149861,15,47
119000,34.70000076,-1.5,33,320.5,1,41.49134333,-71.53327778,15,47
120000,34.70000076,-1.75,33,320.5,1,41.49134333,-71.53327778,15,46
121000,34.70000076,19.75,33,321,1,41.49134333,-71.53327778,15,44
122000,34.70000076,20.5,33,321.5,1,41.49134333,-71.53327778,15,43
123000,34.70000076,1.75,33,320.5,1,41.49134333,-71.53327778,15,43
124000,34.70000076,0,33,320.5,1,41.49134333,-71.53327778,15,42
125000,34.70000076,16,33,321,1,41.49134333,-71.53327778,15,39
126000,34.70000076,48,33,322.75,1,41.49134333,-71.53327778,15,36
127000,34.70000076,12,33,321,1,41.49134333,-71.53327778,15,36
128000,34.70000076,-0.75,33,320.5,1,41.49134333,-71.53327778,15,36
129000,32.59999847,-33,33,319,1,41.4915425,-71.5346275,15,37
130000,32.59999847,-4,33,319.75,1,41.4915425,-71.5346275,15,36
131000,32.59999847,-4,33,320.25,1,41.4915425,-71.5346275,15,36
132000,32.59999847,0,33,320.25,1,41.4915425,-71.5346275,15,36
133000,32.59999847,-2.25,33,320.5,1,41.4915425,-71.5346275,15,36
134000,32.59999847,-0.75,33,320.5,1,41.4915425,-71.5346275,15,35
135000,32.59999847,-7.75,33,320.25,1,41.4915425,-71.5346275,15,35
136000,32.59999847,-3.75,33,320.5,1,41.4915425,-71.5346275,15,34
137000,32.59999847,37,33,321.5,1,41.4915425,-71.5346275,15,29
138000,32.59999847,36.5,33,322,1,41.4915425,-71.5346275,15,25
139000,32.5,24.25,33,322,1,41.49169861,-71.5357325,15,22
140000,32.5,32.5,33,322,1,41.49169861,-71.5357325,15,16
141000,32.5,33,33,322.25,1,41.49169861,-71.5357325,15,11
142000,32.5,15,33,321.25,1,41.49169861,-71.5357325,15,4
143000,32.5,-1,33,320.5,1,41.49169861,-71.5357325,15,2
144000,32.5,-1,33,320.5,1,41.49169861,-71.5357325,15,4
145000,32.5,-18.75,33,319.75,1,41.49169861,-71.5357325,15,6
146000,32.5,-0.5,33,320.5,1,41.49169861,-71.5357325,15,2
147000,32.5,-1,33,320.5,1,41.49169861,-71.5357325,15,4
148000,32.5,-41.5,33,319,1,41.49169861,-71.5357325,15,15
149000,34.40000153,-105,33,316,1,41.491745,-71.53603278,15,27
150000,34.40000153,-154.5,33,313.25,1,41.491745,-71.53603278,15,34
151000,34.40000153,-85,33,316.75,1,41.491745,-71.53603278,15,38
152000,34.40000153,-88.75,33,316,1,41.491745,-71.53603278,15,42
153000,34.40000153,-88.75,33,314.5,1,41.491745,-71.53603278,15,42
154000,34.40000153,-112.5,33,316.5,1,41.491745,-71.53603278,15,44
155000,34.40000153,-63.5,33,318.5,1,41.491745,-71.53603278,15,45
156000,34.40000153,-18.5,33,319.75,1,41.491745,-71.53603278,15,45
157000,34.40000153,-4.25,33,319.75,1,41.491745,-71.53603278,15,46
158000,34.40000153,-61,33,317,1,41.491745,-71.53603278,15,47
159000,36.5,-20.5,33,318.5,1,41.49193778,-71.5373675,15,48
160000,36.5,-12.75,33,319.25,1,41.49193778,-71.5373675,15,48
161000,36.5,-15.75,33,319.25,1,41.49193778,-71.5373675,15,48
162000,36.5,-22,33,318.75,1,41.49193778,-71.5373675,15,48
163000,36.5,-20,33,318.75,1,41.49193778,-71.5373675,15,49
164000,36.5,-27.75,33,318.5,1,41.49193778,-71.5373675,15,49
165000,36.5,-14,33,319,1,41.49193778,-71.5373675,15,49
166000,36.5,-19.25,33,319,1,41.49193778,-71.5373675,15,50
167000,36.5,-17.75,33,319,1,41.49193778,-71.5373675,15,49
168000,36.5,-9.5,33,319.5,1,41.49193778,-71.5373675,15,50
169000,36.09999847,-46.5,33,317.5,1,41.49175611,-71.53895583,15,51
170000,36.09999847,-0.5,33,319.75,1,41.49175611,-71.53895583,15,49
171000,36.09999847,0.25,33,319.75,1,41.49175611,-71.53895583,15,49
172000,36.09999847,0,33,319.75,1,41.49175611,-71.53895583,15,48
173000,36.09999847,0,33,320,1,41.49175611,-71.53895583,15,47
174000,36.09999847,-1,33,319.75,1,41.49175611,-71.53895583,15,46
175000,36.09999847,1.5,33,319.75,1,41.49175611,-71.53895583,15,45
176000,36.09999847,1.5,33,320,1,41.49175611,-71.53895583,15,45
177000,36.09999847,0.5,33,320,1,41.49175611,-71.53895583,15,44
178000,36.09999847,-1,33,320,1,41.49175611,-71.53895583,15,45
179000,36.59999847,-37.5,33,317.75,1,41.49103472,-71.54017528,15,45
180000,36.59999847,-17.25,33,319.25,1,41.49103472,-71.54017528,15,45
181000,36.59999847,-27.5,33,318.5,1,41.49103472,-71.54017528,15,46
182000,36.59999847,-32.75,33,318.75,1,41.49103472,-71.54017528,15,47
183000,36.59999847,-34.75,33,318.25,1,41.49103472,-71.54017528,15,47
184000,36.59999847,-35.25,33,318.25,1,41.49103472,-71.54017528,15,47
185000,36.59999847,-1.75,33,319.75,1,41.49103472,-71.54017528,15,46
186000,36.59999847,0,33,320,1,41.49103472,-71.54017528,15,46
187000,36.59999847,0,33,320,1,41.49103472,-71.54017528,15,45
188000,36.59999847,-22,33,319,1,41.49103472,-71.54017528,15,45
189000,37.5,-9.75,33,319.25,1,41.49017472,-71.54120778,15,46
190000,37.5,-17.75,33,319,1,41.49017472,-71.54120778,15,47
191000,37.5,-46.75,33,317.5,1,41.49017472,-71.54120778,15,48
192000,37.5,-4.75,33,319.5,1,41.49017472,-71.54120778,15,48
193000,37.5,-1.5,33,319.75,1,41.49017472,-71.54120778,15,48
194000,37.5,1,33,320,1,41.49017472,-71.54120778,15,47
195000,37.5,0.5,33,319.75,1,41.49017472,-71.54120778,15,47
196000,37.5,2.5,33,319.75,1,41.49017472,-71.54120778,15,47
197000,37.5,0.25,33,319.75,1,41.49017472,-71.54120778,15,46
198000,37.5,-1,33,319.75,1,41.49017472,-71.54120778,15,46
199000,36.70000076,0,33,320,1,41.48927472,-71.54221972,15,45
200000,36.70000076,-0.5,33,320,1,41.48927472,-71.54221972,15,45
201000,36.70000076,-0.5,33,319.75,1,41.48927472,-71.54221972,15,45
202000,36.70000076,1,33,320,1,41.48927472,-71.54221972,15,44
203000,36.70000076,0.5,33,320,1,41.48927472,-71.54221972,15,44
204000,36.70000076,-9,33,319.5,1,41.48927472,-71.54221972,15,44
205000,36.70000076,-0.5,33,320,1,41.48927472,-71.54221972,15,43
206000,36.70000076,0.5,33,320,1,41.48927472,-71.54221972,15,42
