--Meta Data--,,,,,,,,,
Start Time(UTC),LoggerName,Pck,Vin,,,,,,
11/19/18 13:01,9170-0393,,,,,,,,
,,,,,,,,,
--Raw Data--,,,,,,,,,
Timestamp(ms),Altitude[m],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Is Driving[bool],Latitude[deg],Longitude[deg],OAT[degC],Vehicle Speed[km/h]
0,0,0,0,0,0,0,0,0,0
700,0,0,0,0,0,0,0,0,0
1700,0,-6,71,340.5,1,0,0,0,0
2700,0,-6,71,340.5,1,0,0,0,0
3700,0,-6,71,340.5,1,0,0,0,0
4700,0,-6,71,340.5,1,0,0,0,0
5700,0,-6,71,340.5,1,0,0,0,0
6700,0,-6,71,340.5,1,0,0,0,0
7700,0,-6,71,340.5,1,0,0,0,0
8700,0,-6,71,340.5,1,0,0,0,0
9700,0,-6,71,340.5,1,0,0,0,0
10700,0,-6,71,340.5,1,0,0,0,0
11700,0,-1.75,71,340.5,1,0,0,0,0
12700,0,-1.75,71,340.5,1,0,0,0,0
13700,0,-1.75,71,340.5,1,0,0,0,0
14700,0,-1.75,71,340.5,1,0,0,0,0
15700,0,-1.75,71,340.5,1,0,0,0,0
16700,0,-1.75,71,340.5,1,0,0,0,0
17700,0,-1.75,71,340.5,1,0,0,0,0
18700,80.30000305,-1.75,71,340.5,1,41.47343361,-71.52096333,0,0
19700,80.30000305,-10.5,71,340,1,41.47343361,-71.52096333,7,3
20700,80.30000305,-10.5,71,340,1,41.47343361,-71.52096333,7,3
21700,80.30000305,-13.5,71,339.75,1,41.47343361,-71.52096333,7,5
22700,80.30000305,-7.5,71,340,1,41.47343361,-71.52096333,7,4
23700,80.30000305,-7.5,71,340,1,41.47343361,-71.52096333,7,3
24700,80.30000305,-7.25,71,339.75,1,41.47343361,-71.52096333,7,3
25700,80.30000305,-14.5,71,339.75,1,41.47343361,-71.52096333,7,4
26700,80.30000305,-12.5,71,339.75,1,41.47343361,-71.52096333,7,4
27700,80.30000305,-12.5,71,340,1,41.47343361,-71.52096333,7,5
28700,80.30000305,-12.5,71,340,1,41.47343361,-71.52096333,7,2
29700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
30700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
31700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
32700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
33700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
34700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
35700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
36700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
37700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
38700,80.30000305,-6.5,71,340,1,41.47343361,-71.52096333,7,2
39700,80.30000305,-11,71,339.75,1,41.47343361,-71.52096333,7,2
40700,80.30000305,-11,71,339.75,1,41.47343361,-71.52096333,7,2
41700,80.30000305,-11,71,339.75,1,41.47343361,-71.52096333,7,2
42700,89.40000153,-11,71,339.75,1,41.47340083,-71.52093583,7,2
43700,89.40000153,-14,71,339.25,1,41.47340083,-71.52093583,7,3
44700,89.40000153,-15.5,71,339.5,1,41.47340083,-71.52093583,7,5
45700,89.40000153,-15.5,71,339.75,1,41.47340083,-71.52093583,7,5
46700,89.40000153,-9.75,71,339.75,1,41.47340083,-71.52093583,7,5
47700,89.40000153,-9.5,71,339.75,1,41.47340083,-71.52093583,7,4
48700,89.40000153,-10.5,71,339.75,1,41.47340083,-71.52093583,7,4
49700,89.40000153,-9.75,71,339.75,1,41.47340083,-71.52093583,7,4
50700,89.40000153,-9.75,71,339.75,1,41.47340083,-71.52093583,7,4
51700,89.40000153,-10.75,71,339.5,1,41.47340083,-71.52093583,7,4
52700,97.90000153,-9.5,71,339.75,1,41.47331111,-71.52098194,7,5
53700,97.90000153,-9.5,71,339.75,1,41.47331111,-71.52098194,7,2
54700,97.90000153,-9.5,71,339.75,1,41.47331111,-71.52098194,7,1
55700,97.90000153,-10,71,339.75,1,41.47331111,-71.52098194,7,1
56700,97.90000153,-33.5,71,339,1,41.47331111,-71.52098194,7,7
57700,97.90000153,-33.5,71,336.5,1,41.47331111,-71.52098194,7,12
58700,97.90000153,-62.75,71,333.75,1,41.47331111,-71.52098194,7,21
59700,97.90000153,-99.5,71,334,1,41.47331111,-71.52098194,7,28
60700,97.90000153,-58.5,71,336,1,41.47331111,-71.52098194,7,33
61700,97.90000153,-45.75,71,336.75,1,41.47331111,-71.52098194,7,35
62700,90.40000153,-15,71,336.75,1,41.47319222,-71.52140861,7,36
63700,90.40000153,-15,71,339.25,1,41.47319222,-71.52140861,7,36
64700,90.40000153,-8,71,339.25,1,41.47319222,-71.52140861,7,37
65700,90.40000153,-8,71,339.25,1,41.47319222,-71.52140861,7,37
66700,90.40000153,-6.5,71,339.25,1,41.47319222,-71.52140861,7,38
67700,90.40000153,-9.25,71,339.25,1,41.47319222,-71.52140861,7,37
68700,90.40000153,-7.25,71,339.25,1,41.47319222,-71.52140861,7,36
69700,90.40000153,3.5,71,339.75,1,41.47319222,-71.52140861,7,35
70700,90.40000153,3.5,71,340.5,1,41.47319222,-71.52140861,7,34
71700,90.40000153,16.5,71,340.5,1,41.47319222,-71.52140861,7,31
72700,86.5,23.5,71,341,1,41.47312639,-71.52258333,7,25
73700,86.5,-9,73,339.5,1,41.47312639,-71.52258333,7,22
74700,86.5,-9,73,339.5,1,41.47312639,-71.52258333,7,21
75700,86.5,-12.5,73,336.25,1,41.47312639,-71.52258333,7,23
76700,86.5,-94,73,336.25,1,41.47312639,-71.52258333,7,27
77700,86.5,-94,73,334,1,41.47312639,-71.52258333,7,32
78700,86.5,-70.5,73,332.75,1,41.47312639,-71.52258333,7,35
79700,86.5,-70.5,73,334.5,1,41.47312639,-71.52258333,7,35
80700,86.5,-61,73,335.25,1,41.47312639,-71.52258333,7,35
81700,86.5,-17.25,73,338.25,1,41.47312639,-71.52258333,7,32
82700,87.40000153,-12.75,73,340.5,1,41.4737,-71.52277917,7,26
83700,87.40000153,17,73,341.5,1,41.4737,-71.52277917,7,20
84700,87.40000153,28,73,340.5,1,41.4737,-71.52277917,7,14
85700,87.40000153,28,73,340.5,1,41.4737,-71.52277917,7,14
86700,87.40000153,7.5,73,339.25,1,41.4737,-71.52277917,7,11
87700,87.40000153,-9.75,73,337.5,1,41.4737,-71.52277917,7,12
88700,87.40000153,-36,73,337.5,1,41.4737,-71.52277917,7,12
89700,87.40000153,-58,73,336,1,41.4737,-71.52277917,7,17
90700,87.40000153,-75.75,73,334.75,1,41.4737,-71.52277917,7,23
91700,87.40000153,-86.75,73,334,1,41.4737,-71.52277917,7,29
92700,83.40000153,-64.75,73,334.5,1,41.47395111,-71.52326639,7,36
93700,83.40000153,-48.75,73.5,336.25,1,41.47395111,-71.52326639,7,39
94700,83.40000153,-52,73.5,336,1,41.47395111,-71.52326639,7,41
95700,83.40000153,-3.75,73.5,338.5,1,41.47395111,-71.52326639,7,43
96700,83.40000153,-7.5,73.5,338.75,1,41.47395111,-71.52326639,7,43
97700,83.40000153,-8.5,73.5,338.75,1,41.47395111,-71.52326639,7,42
98700,83.40000153,-9,73.5,338.75,1,41.47395111,-71.52326639,7,42
99700,83.40000153,-7.75,73.5,340.75,1,41.47395111,-71.52326639,7,42
100700,83.40000153,25,73.5,342,1,41.47395111,-71.52326639,7,40
101700,83.40000153,41.75,73.5,342,1,41.47395111,-71.52326639,7,36
102700,79.09999847,85.5,73.5,345.5,1,41.47406667,-71.52456333,7,29
103700,79.09999847,37.5,73.5,342.25,1,41.47406667,-71.52456333,6,20
104700,79.09999847,16,73.5,339.25,1,41.47406667,-71.52456333,6,12
105700,79.09999847,-9,73.5,339.25,1,41.47406667,-71.52456333,6,5
106700,79.09999847,-9,73.5,339.25,1,41.47406667,-71.52456333,6,3
107700,79.09999847,-19.75,73.5,338.75,1,41.47406667,-71.52456333,6,4
108700,79.09999847,-40.5,73.5,337.25,1,41.47406667,-71.52456333,6,9
109700,79.09999847,-122.5,73.5,332.25,1,41.47406667,-71.52456333,6,15
110700,79.09999847,-160.25,73.5,329.25,1,41.47406667,-71.52456333,6,23
111700,79.09999847,-160.25,73.5,331,1,41.47406667,-71.52456333,6,33
112700,85.90000153,-160.25,73.5,331,1,41.47437694,-71.5247025,6,40
113700,85.90000153,-129.5,73.5,331.5,1,41.47437694,-71.5247025,6,45
114700,85.90000153,-115.5,73.5,331.5,1,41.47437694,-71.5247025,6,45
115700,85.90000153,-112,73.5,333.25,1,41.47437694,-71.5247025,6,49
116700,85.90000153,-126.25,73.5,331.75,1,41.47437694,-71.5247025,6,51
117700,85.90000153,-126.25,73.5,333.25,1,41.47437694,-71.5247025,6,53
118700,85.90000153,-82.25,73.5,334,1,41.47437694,-71.5247025,6,55
119700,85.90000153,-73.75,73.5,333.75,1,41.47437694,-71.5247025,6,56
120700,85.90000153,-73.75,73.5,334.25,1,41.47437694,-71.5247025,6,58
121700,85.90000153,-69.5,73.5,337,1,41.47437694,-71.5247025,6,59
122700,85,-18,73.5,337.75,1,41.47570833,-71.52433028,6,60
123700,85,-20.75,73.5,337.75,1,41.47570833,-71.52433028,6,59
124700,85,-22.25,73.5,337.75,1,41.47570833,-71.52433028,6,58
125700,85,-9.5,73.5,338.25,1,41.47570833,-71.52433028,6,58
126700,85,-7.25,73.5,338.25,1,41.47570833,-71.52433028,6,57
127700,85,-26.75,73.5,337,1,41.47570833,-71.52433028,6,56
128700,85,-27,73.5,337,1,41.47570833,-71.52433028,6,56
129700,85,-27,73.5,337.25,1,41.47570833,-71.52433028,6,56
130700,85,-25.25,73.5,337,1,41.47570833,-71.52433028,6,55
131700,85,-24,73.5,337,1,41.47570833,-71.52433028,6,55
132700,85,-24,73.5,336.75,1,41.47570833,-71.52433028,6,55
133700,89.30000305,-24,73.5,336.75,1,41.47721889,-71.52397111,6,54
134700,89.30000305,-26.25,73.5,336.75,1,41.47721889,-71.52397111,6,54
135700,89.30000305,-13,73.5,337.75,1,41.47721889,-71.52397111,6,53
136700,89.30000305,-11,73.5,337.75,1,41.47721889,-71.52397111,6,52
137700,89.30000305,-12.5,73.5,337.75,1,41.47721889,-71.52397111,6,52
138700,89.30000305,-12.5,73.5,337.75,1,41.47721889,-71.52397111,6,51
139700,89.30000305,-13.75,73.5,337.5,1,41.47721889,-71.52397111,6,50
140700,89.30000305,-16.25,73.5,337.5,1,41.47721889,-71.52397111,6,49
141700,89.30000305,-70.25,73.5,334.75,1,41.47721889,-71.52397111,6,49
142700,87.69999695,-72.25,73.5,334.75,1,41.47836861,-71.52364694,6,51
143700,87.69999695,-62.5,73.5,334.5,1,41.47836861,-71.52364694,6,53
144700,87.69999695,-55.5,73.5,334.75,1,41.47836861,-71.52364694,6,55
145700,87.69999695,-55.5,73.5,335.25,1,41.47836861,-71.52364694,6,56
146700,87.69999695,-44.75,73.5,338,1,41.47836861,-71.52364694,6,57
147700,87.69999695,-9,73.5,337.75,1,41.47836861,-71.52364694,6,56
148700,87.69999695,43.75,73.5,339,1,41.47836861,-71.52364694,6,54
149700,87.69999695,49,73.5,341.75,1,41.47836861,-71.52364694,6,48
150700,87.69999695,47.5,73.5,341.75,1,41.47836861,-71.52364694,6,44
151700,87.69999695,47.5,73.5,341.5,1,41.47836861,-71.52364694,6,38
152700,87.69999695,45.75,73.5,341.75,1,41.47836861,-71.52364694,6,32
153700,87.40000153,45.75,73.5,341.75,1,41.47968889,-71.52320083,6,27
154700,87.40000153,13.5,73.5,339.5,1,41.47968889,-71.52320083,6,27
155700,87.40000153,14.75,73.5,339.75,1,41.47968889,-71.52320083,6,17
156700,87.40000153,14.75,73.5,338.5,1,41.47968889,-71.52320083,6,12
157700,87.40000153,-10.25,73.5,338.5,1,41.47968889,-71.52320083,6,10
158700,87.40000153,-10.25,73.5,338.5,1,41.47968889,-71.52320083,6,10
159700,87.40000153,-12.5,73.5,338.5,1,41.47968889,-71.52320083,6,7
160700,87.40000153,-14,73.5,338.25,1,41.47968889,-71.52320083,6,4
161700,87.40000153,-14.75,73.5,338.25,1,41.47968889,-71.52320083,6,2
162700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
163700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
164700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
165700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
166700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
167700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
168700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
169700,87.40000153,-8.25,73.5,338.5,1,41.47968889,-71.52320083,5,0
170700,79.40000153,-8.25,73.5,338.5,1,41.47995389,-71.5230875,5,0
171700,79.40000153,-10.25,73.5,337.75,1,41.47995389,-71.5230875,5,2
172700,79.40000153,-10.25,73.5,338.5,1,41.47995389,-71.5230875,5,2
173700,79.40000153,-9.75,73.5,338.5,1,41.47995389,-71.5230875,5,2
174700,79.40000153,-26.75,73.5,337.5,1,41.47995389,-71.5230875,5,3
175700,79.40000153,-26.75,73.5,337.5,1,41.47995389,-71.5230875,5,7
176700,79.40000153,-57.25,73.5,335.5,1,41.47995389,-71.5230875,5,13
177700,79.40000153,-57.25,73.5,335.5,1,41.47995389,-71.5230875,5,16
178700,79.40000153,-33.75,73.5,336.75,1,41.47995389,-71.5230875,5,17
179700,79.40000153,-16,73.5,337.75,1,41.47995389,-71.5230875,5,16
180700,75,-16.75,73.5,337.75,1,41.48000861,-71.52283417,5,16
181700,75,-17,73.5,338.5,1,41.48000861,-71.52283417,5,16
182700,75,-2.75,73.5,339.25,1,41.48000861,-71.52283417,5,14
183700,75,2.75,73.5,339.25,1,41.48000861,-71.52283417,5,6
184700,75,-6.75,73.5,338.75,1,41.48000861,-71.52283417,5,6
185700,75,-6.75,73.5,338.5,1,41.48000861,-71.52283417,5,2
186700,75,-15,73.5,338.5,1,41.48000861,-71.52283417,5,2
187700,75,-15,73.5,338.5,1,41.48000861,-71.52283417,5,2
188700,75,-15,73.5,338.5,1,41.48000861,-71.52283417,5,2
189700,75,-15,73.5,338.5,1,41.48000861,-71.52283417,5,2
190700,75,-15,73.5,338.5,1,41.48000861,-71.52283417,5,2
191700,75,-15,73.5,338.5,1,41.48000861,-71.52283417,5,2
192700,73.09999847,-15,73.5,338.5,1,41.47999611,-71.522645,5,2
193700,73.09999847,-27.75,73.5,337.25,1,41.47999611,-71.522645,5,8
194700,73.09999847,-27.75,73.5,337.25,1,41.47999611,-71.522645,5,12
195700,73.09999847,-31.5,73.5,337,1,41.47999611,-71.522645,5,15
196700,73.09999847,-36,73.5,336.75,1,41.47999611,-71.522645,5,19
197700,73.09999847,-37.5,73.5,336,1,41.47999611,-71.522645,5,21
198700,73.09999847,-38,73.5,336,1,41.47999611,-71.522645,5,24
199700,73.09999847,-34.25,73.5,336.25,1,41.47999611,-71.522645,5,25
200700,73.09999847,-37,73.5,336.25,1,41.47999611,-71.522645,5,26
201700,73.09999847,-40.5,73.5,336.25,1,41.47999611,-71.522645,5,27
202700,74.30000305,-40.5,73.5,336,1,41.48041972,-71.52245472,5,28
203700,74.30000305,-42.5,73.5,336,1,41.48041972,-71.52245472,5,29
204700,74.30000305,-44.5,73.5,336.5,1,41.48041972,-71.52245472,5,30
205700,74.30000305,-35.5,73.5,336.5,1,41.48041972,-71.52245472,5,31
206700,74.30000305,-23.5,73.5,337,1,41.48041972,-71.52245472,5,30
207700,74.30000305,-17.5,73.5,336.25,1,41.48041972,-71.52245472,5,31
208700,74.30000305,-38,73.5,336.25,1,41.48041972,-71.52245472,5,32
209700,74.30000305,-38,73.5,336.25,1,41.48041972,-71.52245472,5,32
210700,74.30000305,-40.25,73.5,336,1,41.48041972,-71.52245472,5,33
211700,74.30000305,-40.25,73.5,336,1,41.48041972,-71.52245472,5,35
212700,76.90000153,-53.25,73.5,335,1,41.48117028,-71.52218139,5,37
213700,76.90000153,-53.5,73.5,335.25,1,41.48117028,-71.52218139,5,39
214700,76.90000153,-50,73.5,335.25,1,41.48117028,-71.52218139,5,40
215700,76.90000153,-51,73.5,335,1,41.48117028,-71.52218139,5,42
216700,76.90000153,-51,73.5,335,1,41.48117028,-71.52218139,5,43
217700,76.90000153,-46.75,73.5,336.25,1,41.48117028,-71.52218139,5,44
218700,76.90000153,-17.75,73.5,336.25,1,41.48117028,-71.52218139,5,45
219700,76.90000153,-17.75,73.5,337,1,41.48117028,-71.52218139,5,45
220700,76.90000153,-19,73.5,336.5,1,41.48117028,-71.52218139,5,45
221700,76.90000153,-29.5,73.5,336.5,1,41.48117028,-71.52218139,5,45
222700,79.59999847,-29.5,73.5,337.25,1,41.48218972,-71.52182361,5,45
223700,79.59999847,-15.75,73.5,337.25,1,41.48218972,-71.52182361,5,45
224700,79.59999847,-14.25,73.5,339.5,1,41.48218972,-71.52182361,5,44
225700,79.59999847,32.5,73.5,344.25,1,41.48218972,-71.52182361,5,42
226700,79.59999847,86.25,73.5,343.5,1,41.48218972,-71.52182361,5,33
227700,79.59999847,-17.5,73.5,343.5,1,41.48218972,-71.52182361,5,19
228700,79.59999847,-35,73.5,336.75,1,41.48218972,-71.52182361,5,13
229700,79.59999847,-35,73.5,335.5,1,41.48218972,-71.52182361,5,15
230700,79.59999847,-55.5,73.5,335.5,1,41.48218972,-71.52182361,5,20
231700,79.59999847,-73,73.5,333.25,1,41.48218972,-71.52182361,5,25
232700,79.59999847,-73,73.5,332.5,1,41.48218972,-71.52182361,5,25
233700,79,-96.25,73.5,332.25,1,41.48297583,-71.52157444,5,31
234700,79,-96.25,73.5,332.25,1,41.48297583,-71.52157444,5,37
235700,79,-95.25,73.5,332.75,1,41.48297583,-71.52157444,5,42
236700,79,-86.5,73.5,332.75,1,41.48297583,-71.52157444,5,46
237700,79,-50.5,73.5,335.25,1,41.48297583,-71.52157444,5,49
238700,79,-19,73.5,336.5,1,41.48297583,-71.52157444,5,50
239700,79,-19,73.5,337.5,1,41.48297583,-71.52157444,5,51
240700,79,-8.75,73.5,337.25,1,41.48297583,-71.52157444,5,51
241700,79,-6.5,73.5,337.25,1,41.48297583,-71.52157444,5,51
242700,79,-6.5,73.5,337.75,1,41.48297583,-71.52157444,5,50
243700,76.80000305,-7,73.5,337.75,1,41.48416639,-71.52117361,5,50
244700,76.80000305,-7,73.5,337,1,41.48416639,-71.52117361,5,49
245700,76.80000305,-8.25,73.5,335.5,1,41.48416639,-71.52117361,5,49
246700,76.80000305,-45.25,73.5,335.25,1,41.48416639,-71.52117361,5,49
247700,76.80000305,-45.25,73.5,335.25,1,41.48416639,-71.52117361,5,50
248700,76.80000305,-34,73.5,337.75,1,41.48416639,-71.52117361,5,51
249700,76.80000305,-12.75,73.5,337.75,1,41.48416639,-71.52117361,5,50
250700,76.80000305,-12.75,73.5,337.75,1,41.48416639,-71.52117361,5,49
251700,76.80000305,-15.75,73.5,337.25,1,41.48416639,-71.52117361,5,49
252700,76.80000305,-16.5,73.5,337.5,1,41.48416639,-71.52117361,5,49
253700,83.09999847,-13,73.5,337.75,1,41.48537528,-71.52080417,5,48
254700,83.09999847,-8.5,73.5,337.75,1,41.48537528,-71.52080417,5,48
255700,83.09999847,-6.25,73.5,338,1,41.48537528,-71.52080417,5,48
256700,83.09999847,-6.75,73.5,338,1,41.48537528,-71.52080417,5,47
257700,83.09999847,-6.75,73.5,337.75,1,41.48537528,-71.52080417,5,47
258700,83.09999847,-7,73.5,337.75,1,41.48537528,-71.52080417,5,46
259700,83.09999847,-5.5,73.5,337.75,1,41.48537528,-71.52080417,5,46
260700,83.09999847,-10.5,73.5,337.75,1,41.48537528,-71.52080417,5,45
261700,83.09999847,-37,73.5,336,1,41.48537528,-71.52080417,5,45
